"Index","GasPrice","SpotPrice"
1991,1.18,25.23
1991.08333333333,1.094,20.48
1991.16666666667,1.04,19.9
1991.25,1.076,20.83
1991.33333333333,1.126,21.23
1991.41666666667,1.128,20.19
1991.5,1.096,21.4
1991.58333333333,1.115,21.69
1991.66666666667,1.109,21.89
1991.75,1.088,23.23
1991.83333333333,1.099,22.46
1991.91666666667,1.076,19.5
1992,1.022,18.79
1992.08333333333,1.006,19.01
1992.16666666667,1.013,18.92
1992.25,1.052,20.23
1992.33333333333,1.107,20.98
1992.41666666667,1.145,22.38
1992.5,1.137,21.78
1992.58333333333,1.122,21.34
1992.66666666667,1.122,21.88
1992.75,1.114,21.69
1992.83333333333,1.111,20.34
1992.91666666667,1.078,19.41
1993,1.062,19.03
1993.08333333333,1.054,20.09
1993.16666666667,1.052,20.32
1993.25,1.078,20.25
1993.33333333333,1.1,19.95
1993.41666666667,1.097,19.09
1993.5,1.078,17.89
1993.58333333333,1.062,18.01
1993.66666666667,1.05,17.5
1993.75,1.092,18.15
1993.83333333333,1.066,16.61
1993.91666666667,1.014,14.51
1994,0.998,15.03
1994.08333333333,1.009,14.78
1994.16666666667,1.008,14.68
1994.25,1.027,16.42
1994.33333333333,1.047,17.89
1994.41666666667,1.078,19.06
1994.5,1.106,19.65
1994.58333333333,1.155,18.38
1994.66666666667,1.144,17.45
1994.75,1.114,17.72
1994.83333333333,1.116,18.07
1994.91666666667,1.091,17.16
1995,1.082,18.04
1995.08333333333,1.073,18.57
1995.16666666667,1.072,18.54
1995.25,1.111,19.9
1995.33333333333,1.178,19.74
1995.41666666667,1.192,18.45
1995.5,1.154,17.33
1995.58333333333,1.123,18.02
1995.66666666667,1.111,18.23
1995.75,1.087,17.43
1995.83333333333,1.062,17.99
1995.91666666667,1.071,19.03
1996,1.09,18.85
1996.08333333333,1.089,19.09
1996.16666666667,1.137,21.33
1996.25,1.231,23.5
1996.33333333333,1.279,21.17
1996.41666666667,1.256,20.42
1996.5,1.227,21.3
1996.58333333333,1.207,21.9
1996.66666666667,1.202,23.97
1996.75,1.204,24.88
1996.83333333333,1.232,23.71
1996.91666666667,1.235,25.23
1997,1.236,25.13
1997.08333333333,1.23,22.18
1997.16666666667,1.205,20.97
1997.25,1.199,19.7
1997.33333333333,1.2,20.82
1997.41666666667,1.198,19.26
1997.5,1.174,19.66
1997.58333333333,1.224,19.95
1997.66666666667,1.231,19.8
1997.75,1.197,21.33
1997.83333333333,1.171,20.19
1997.91666666667,1.131,18.33
1998,1.086,16.72
1998.08333333333,1.049,16.06
1998.16666666667,1.017,15.12
1998.25,1.03,15.35
1998.33333333333,1.064,14.91
1998.41666666667,1.064,13.72
1998.5,1.055,14.17
1998.58333333333,1.026,13.47
1998.66666666667,1.009,15.03
1998.75,1.019,14.46
1998.83333333333,0.995,13
1998.91666666667,0.945,11.35
1999,0.939,12.51
1999.08333333333,0.921,12.01
1999.16666666667,0.982,14.68
1999.25,1.131,17.31
1999.33333333333,1.131,17.72
1999.41666666667,1.114,17.92
1999.5,1.158,20.1
1999.58333333333,1.221,21.28
1999.66666666667,1.256,23.8
1999.75,1.244,22.69
1999.83333333333,1.251,25
1999.91666666667,1.273,26.1
2000,1.289,27.26
2000.08333333333,1.377,29.37
2000.16666666667,1.516,29.84
2000.25,1.465,25.72
2000.33333333333,1.487,28.79
2000.41666666667,1.633,31.82
2000.5,1.551,29.7
2000.58333333333,1.465,31.26
2000.66666666667,1.55,33.88
2000.75,1.532,33.11
2000.83333333333,1.517,34.42
2000.91666666667,1.443,28.44
2001,1.447,29.59
2001.08333333333,1.45,29.61
2001.16666666667,1.409,27.24
2001.25,1.552,27.49
2001.33333333333,1.702,28.63
2001.41666666667,1.616,27.6
2001.5,1.421,26.42
2001.58333333333,1.421,27.37
2001.66666666667,1.522,26.2
2001.75,1.315,22.17
2001.83333333333,1.171,19.64
2001.91666666667,1.086,19.39
2002,1.107,19.71
2002.08333333333,1.114,20.72
2002.16666666667,1.249,24.53
2002.25,1.397,26.18
2002.33333333333,1.392,27.04
2002.41666666667,1.382,25.52
2002.5,1.397,26.97
2002.58333333333,1.396,28.39
2002.66666666667,1.4,29.66
2002.75,1.445,28.84
2002.83333333333,1.419,26.35
2002.91666666667,1.386,29.46
2003,1.458,32.95
2003.08333333333,1.613,35.83
2003.16666666667,1.693,33.51
2003.25,1.589,28.17
2003.33333333333,1.497,28.11
2003.41666666667,1.493,30.66
2003.5,1.513,30.75
2003.58333333333,1.62,31.57
2003.66666666667,1.679,28.31
2003.75,1.564,30.34
2003.83333333333,1.512,31.11
2003.91666666667,1.479,32.13
2004,1.572,34.31
2004.08333333333,1.648,34.68
2004.16666666667,1.736,36.74
2004.25,1.798,36.75
2004.33333333333,1.983,40.28
2004.41666666667,1.969,38.03
2004.5,1.911,40.78
2004.58333333333,1.878,44.9
2004.66666666667,1.87,45.94
2004.75,2,53.28
2004.83333333333,1.979,48.47
2004.91666666667,1.841,43.15
2005,1.831,46.84
2005.08333333333,1.91,48.15
2005.16666666667,2.079,54.19
2005.25,2.243,52.98
2005.33333333333,2.161,49.83
2005.41666666667,2.156,56.35
2005.5,2.29,59
2005.58333333333,2.486,64.99
2005.66666666667,2.903,65.59
2005.75,2.717,62.26
2005.83333333333,2.257,58.32
2005.91666666667,2.185,59.41
2006,2.316,65.49
2006.08333333333,2.28,61.63
2006.16666666667,2.425,62.69
2006.25,2.742,69.44
2006.33333333333,2.907,70.84
2006.41666666667,2.885,70.95
2006.5,2.981,74.41
2006.58333333333,2.952,73.04
2006.66666666667,2.555,63.8
2006.75,2.245,58.89
2006.83333333333,2.229,59.08
