"Index","Type 1 Departments - Major A&E","Type 2 Departments - Single Specialty","Type 3 Departments - Other A&E/Minor Injury Unit","Total Attendances","Type 1 Departments - Major A&E > 4 hours","Type 2 Departments - Single Specialty > 4 hours","Type 3 Departments - Other A&E/Minor Injury Unit > 4 hours","Total Attendances > 4 hours","Emergency Admissions via Type 1 A&E","Total Emergency Admissions via A&E","Other Emergency Admissions (i.e not via A&E)","Total Emergency Admissions","Number of patients spending >4 hours from decision to admit to admission"
"2010.84615384615",267.142,12.806,111.547,391.495,11.827,0.04,0.085,11.952,73.589,76.233,28.181,104.414,1.847
"2010.86538461538",256.893,13.135,115.657,385.685,10.223,0.029,0.131,10.383,67.526,69.429,28.558,97.987,1.601
"2010.88461538462",260.958,12.751,115.034,388.743,9.79,0.033,0.094,9.917,68.99,70.982,28.794,99.776,1.43
"2010.90384615385",256.061,12.126,113.086,381.273,10.087,0.036,0.096,10.219,68.181,70.125,29.095,99.22,1.703
"2010.92307692308",245.842,10.183,107.385,363.41,13.69,0.019,0.17,13.879,68.411,70.256,26.701,96.957,2.093
"2010.94230769231",273.068,11.417,126.645,411.13,21.933,0.065,0.34,22.338,72.101,74.035,29.144,103.179,3.362
"2010.96153846154",266.059,11.422,125.328,402.809,21.771,0.02,0.271,22.062,71.731,74.095,29.626,103.721,3.409
"2010.98076923077",244.799,9.216,107.855,361.87,15.532,0.012,0.239,15.783,70.709,72.905,28.283,101.188,2.475
"2011",279.547,8.691,135.057,423.295,27.245,0.042,0.462,27.749,77.275,79.604,25.936,105.54,4.308
"2011.01923076923",260.138,10.527,129.617,400.282,26.019,0.033,0.279,26.331,72.824,74.932,26.839,101.771,5.185
"2011.03846153846",253.937,12.089,120.267,386.293,16.479,0.03,0.14,16.649,69.683,71.569,28.805,100.374,3.035
"2011.05769230769",250.833,12.19,117.218,380.241,10.55,0.058,0.101,10.709,66.374,68.808,28.046,96.854,1.79
"2011.07692307692",251.079,12.502,118.574,382.155,9.49,0.029,0.072,9.591,67.406,69.309,29.059,98.368,1.644
"2011.09615384615",266.161,12.556,126.473,405.19,11.622,0.016,0.129,11.767,70.016,71.396,29.981,101.377,1.94
"2011.11538461538",274.118,13.05,127.763,414.931,13.213,0.022,0.161,13.396,70.773,71.836,30.977,102.813,2.334
