Time,ipi_Cyprus
2000-01-01,92.6
2000-01-31,99.2
2000-03-01,111.5
2000-04-01,106.0
2000-05-01,112.4
2000-06-01,117.9
2000-07-01,114.2
2000-07-31,73.9
2000-08-31,103.3
2000-09-30,105.8
2000-10-31,100.8
2000-11-30,93.2
2001-01-01,98.7
2001-01-31,96.5
2001-03-02,113.0
2001-04-02,106.9
2001-05-02,119.3
2001-06-02,117.9
2001-07-02,122.4
2001-08-01,77.4
2001-09-01,113.6
2001-10-01,115.7
2001-11-01,109.1
2001-12-01,104.4
2002-01-01,95.3
2002-01-31,97.1
2002-03-02,111.0
2002-04-02,116.2
2002-05-02,114.2
2002-06-02,113.0
2002-07-02,127.9
2002-08-01,80.1
2002-09-01,111.2
2002-10-01,114.1
2002-11-01,107.6
2002-12-01,108.5
2003-01-01,102.7
2003-01-31,99.7
2003-03-02,107.8
2003-04-02,107.6
2003-05-02,114.9
2003-06-02,112.9
2003-07-02,121.9
2003-08-01,73.7
2003-09-01,109.3
2003-10-01,112.4
2003-11-01,105.9
2003-12-01,106.8
2004-01-01,101.5
2004-01-31,100.6
2004-03-01,118.5
2004-04-01,112.4
2004-05-01,112.4
2004-06-01,120.2
2004-07-01,120.6
2004-07-31,72.5
2004-08-31,111.0
2004-09-30,107.5
2004-10-31,110.4
2004-11-30,109.9
2005-01-01,96.1
2005-01-31,101.0
2005-03-02,115.0
2005-04-02,112.0
2005-05-02,112.7
2005-06-02,115.9
2005-07-02,117.6
2005-08-01,78.0
2005-09-01,112.1
2005-10-01,108.1
2005-11-01,110.0
2005-12-01,110.6
2006-01-01,94.7
2006-01-31,96.0
2006-03-02,109.2
2006-04-02,99.5
2006-05-02,115.9
2006-06-02,117.4
2006-07-02,116.9
2006-08-01,82.5
2006-09-01,114.3
2006-10-01,113.0
2006-11-01,110.3
2006-12-01,109.8
2007-01-01,97.5
2007-01-31,97.5
2007-03-02,114.8
2007-04-02,103.4
2007-05-02,121.2
2007-06-02,122.3
2007-07-02,128.7
2007-08-01,80.3
2007-09-01,116.5
2007-10-01,120.3
2007-11-01,121.4
2007-12-01,118.6
2008-01-01,105.0
2008-01-31,108.8
2008-03-01,114.7
2008-04-01,117.4
2008-05-01,128.4
2008-06-01,127.2
2008-07-01,137.9
2008-07-31,77.0
2008-08-31,124.0
2008-09-30,122.9
2008-10-31,118.0
2008-11-30,119.1
2009-01-01,94.7
2009-01-31,98.6
2009-03-02,102.1
2009-04-02,101.1
2009-05-02,109.0
2009-06-02,113.3
2009-07-02,123.6
2009-08-01,67.8
2009-09-01,109.7
2009-10-01,106.1
2009-11-01,107.6
2009-12-01,106.0
2010-01-01,88.7
2010-01-31,91.2
2010-03-02,108.2
2010-04-02,96.7
2010-05-02,107.6
2010-06-02,111.3
2010-07-02,114.8
2010-08-01,66.2
2010-09-01,109.1
2010-10-01,100.7
2010-11-01,103.5
2010-12-01,102.1
2011-01-01,83.2
2011-01-31,87.4
2011-03-02,96.1
2011-04-02,90.1
2011-05-02,102.2
2011-06-02,101.1
2011-07-02,101.3
2011-08-01,64.3
2011-09-01,95.8
2011-10-01,90.7
2011-11-01,90.7
2011-12-01,91.6
2012-01-01,73.7
2012-01-31,79.7
2012-03-01,84.4
2012-04-01,84.8
2012-05-01,94.1
2012-06-01,88.1
2012-07-01,93.8
2012-07-31,59.7
2012-08-31,83.9
2012-09-30,84.9
2012-10-31,83.0
2012-11-30,76.5
2013-01-01,66.7
2013-01-31,67.5
2013-03-02,68.1
2013-04-02,76.8
2013-05-02,77.4
2013-06-02,75.2
2013-07-02,84.5
2013-08-01,56.7
2013-09-01,73.8
2013-10-01,75.2
2013-11-01,68.8
2013-12-01,70.0
