Time,hicp_NRGY00
1990-01-01,60.25
1990-02-01,59.55
1990-03-01,59.46
1990-04-01,59.39
1990-05-01,59.25
1990-06-01,59.04
1990-07-01,59.2
1990-08-01,61.93
1990-09-01,64.33
1990-10-01,66.37
1990-11-01,64.69
1990-12-01,63.51
1991-01-01,64.64
1991-02-01,64.54
1991-03-01,62.94
1991-04-01,63.06
1991-05-01,63.27
1991-06-01,63.29
1991-07-01,65.58
1991-08-01,65.61
1991-09-01,66.07
1991-10-01,66.23
1991-11-01,66.42
1991-12-01,65.53
1992-01-01,64.75
1992-02-01,65.24
1992-03-01,64.97
1992-04-01,65.2
1992-05-01,65.58
1992-06-01,65.68
1992-07-01,65.36
1992-08-01,65.11
1992-09-01,65.07
1992-10-01,65.31
1992-11-01,65.67
1992-12-01,65.45
1993-01-01,65.89
1993-02-01,66.03
1993-03-01,66.33
1993-04-01,66.55
1993-05-01,66.48
1993-06-01,66.6
1993-07-01,66.95
1993-08-01,67.23
1993-09-01,67.02
1993-10-01,67.26
1993-11-01,67.33
1993-12-01,66.88
1994-01-01,68.47
1994-02-01,68.6
1994-03-01,68.42
1994-04-01,68.64
1994-05-01,68.88
1994-06-01,68.9
1994-07-01,68.65
1994-08-01,69.29
1994-09-01,68.74
1994-10-01,68.62
1994-11-01,68.77
1994-12-01,68.67
1995-01-01,69.07
1995-02-01,69.21
1995-03-01,69.45
1995-04-01,69.7
1995-05-01,69.95
1995-06-01,70.04
1995-07-01,69.28
1995-08-01,69.51
1995-09-01,69.89
1995-10-01,69.65
1995-11-01,69.78
1995-12-01,70.11
1996-01-01,70.4
1996-02-01,70.69
1996-03-01,70.96
1996-04-01,71.7
1996-05-01,71.63
1996-06-01,71.22
1996-07-01,71.05
1996-08-01,71.19
1996-09-01,72.11
1996-10-01,72.97
1996-11-01,73.1
1996-12-01,73.34
1997-01-01,74.05
1997-02-01,73.88
1997-03-01,73.54
1997-04-01,73.21
1997-05-01,73.15
1997-06-01,72.98
1997-07-01,73.04
1997-08-01,74.17
1997-09-01,73.97
1997-10-01,74.11
1997-11-01,74.04
1997-12-01,73.81
1998-01-01,73.13
