Time,ipi_Austria
1999-01-01,55.95
1999-02-01,62.42
1999-03-01,76.66
1999-04-01,71.02
1999-05-01,68.9
1999-06-01,75.92
1999-07-01,69.82
1999-08-01,63.81
1999-09-01,82.03
1999-10-01,76.85
1999-11-01,85.26
1999-12-01,76.39
2000-01-01,61.22
2000-02-01,73.33
2000-03-01,84.43
2000-04-01,73.7
2000-05-01,85.45
2000-06-01,78.33
2000-07-01,76.76
2000-08-01,70.56
2000-09-01,86.1
2000-10-01,85.63
2000-11-01,89.89
2000-12-01,80.73
2001-01-01,73.33
2001-02-01,76.29
2001-03-01,87.48
2001-04-01,78.88
2001-05-01,83.6
2001-06-01,80.36
2001-07-01,81.38
2001-08-01,72.41
2001-09-01,83.14
2001-10-01,90.35
2001-11-01,84.71
2001-12-01,73.43
2002-01-01,71.58
2002-02-01,74.17
2002-03-01,81.1
2002-04-01,83.23
2002-05-01,78.98
2002-06-01,85.26
2002-07-01,84.52
2002-08-01,67.51
2002-09-01,86.84
2002-10-01,92.11
2002-11-01,84.15
2002-12-01,77.22
2003-01-01,72.6
2003-02-01,75.18
2003-03-01,84.99
2003-04-01,83.97
2003-05-01,80.18
2003-06-01,81.47
2003-07-01,85.91
2003-08-01,69.45
2003-09-01,91.37
2003-10-01,93.96
2003-11-01,87.02
2003-12-01,81.01
2004-01-01,72.13
2004-02-01,79.16
2004-03-01,94.97
2004-04-01,88.59
2004-05-01,84.06
2004-06-01,94.05
2004-07-01,89.89
2004-08-01,80.73
2004-09-01,99.69
2004-10-01,93.22
2004-11-01,98.58
2004-12-01,92.2
2005-01-01,75.28
2005-02-01,82.31
2005-03-01,96.74
2005-04-01,92.21
2005-05-01,88.14
2005-06-01,101.73
2005-07-01,91.1
2005-08-01,83.24
2005-09-01,102.47
2005-10-01,97.11
2005-11-01,104.23
2005-12-01,95.35
2006-01-01,82.68
2006-02-01,88.23
2006-03-01,105.8
2006-04-01,90.82
2006-05-01,101.55
2006-06-01,102.38
2006-07-01,98.31
2006-08-01,91.1
2006-09-01,107.65
2006-10-01,108.58
2006-11-01,111.72
2006-12-01,99.24
2007-01-01,92.95
2007-02-01,96.18
2007-03-01,113.76
2007-04-01,101.18
2007-05-01,106.27
2007-06-01,107.75
2007-07-01,107.01
2007-08-01,97.11
2007-09-01,109.23
2007-10-01,117.46
2007-11-01,112.92
2007-12-01,101.09
2008-01-01,98.22
2008-02-01,104.79
2008-03-01,110.61
2008-04-01,113.39
2008-05-01,105.34
2008-06-01,114.59
2008-07-01,110.24
2008-08-01,92.58
2008-09-01,119.31
2008-10-01,117.27
2008-11-01,104.14
2008-12-01,97.66
2009-01-01,81.11
2009-02-01,85.18
2009-03-01,102.1
2009-04-01,90.73
2009-05-01,86.66
2009-06-01,93.32
2009-07-01,95.82
2009-08-01,80.65
2009-09-01,103.03
2009-10-01,99.88
2009-11-01,103.03
2009-12-01,96.28
2010-01-01,75.6
2010-02-01,86.5
2010-03-01,106.6
2010-04-01,94.8
2010-05-01,95.5
2010-06-01,106.4
2010-07-01,100.8
2010-08-01,93.7
2010-09-01,113.7
2010-10-01,103.4
2010-11-01,114.1
2010-12-01,108.9
2011-01-01,88.0
2011-02-01,96.0
2011-03-01,117.6
2011-04-01,101.6
2011-05-01,114.0
2011-06-01,105.8
2011-07-01,103.3
2011-08-01,98.7
2011-09-01,117.8
2011-10-01,107.6
2011-11-01,116.2
2011-12-01,108.0
2012-01-01,92.2
2012-02-01,98.9
2012-03-01,113.3
2012-04-01,101.6
2012-05-01,107.8
2012-06-01,109.8
2012-07-01,107.7
2012-08-01,99.9
2012-09-01,109.8
2012-10-01,116.4
2012-11-01,114.2
2012-12-01,100.7
2013-01-01,95.0
2013-02-01,95.7
2013-03-01,108.4
2013-04-01,107.7
2013-05-01,103.3
2013-06-01,109.5
2013-07-01,112.1
2013-08-01,96.0
2013-09-01,114.9
2013-10-01,119.4
2013-11-01,113.0
2013-12-01,105.1
