Time,ipi_Belgium
2000-01-01,58.43
2000-02-01,64.8
2000-03-01,73.79
2000-04-01,65.03
2000-05-01,72.99
2000-06-01,71.11
2000-07-01,58.21
2000-08-01,63.98
2000-09-01,74.97
2000-10-01,74.91
2000-11-01,75.03
2000-12-01,68.31
2001-01-01,72.55
2001-02-01,72.38
2001-03-01,79.57
2001-04-01,70.74
2001-05-01,76.38
2001-06-01,79.73
2001-07-01,64.24
2001-08-01,67.91
2001-09-01,74.09
2001-10-01,78.48
2001-11-01,73.38
2001-12-01,65.36
2002-01-01,69.9
2002-02-01,69.57
2002-03-01,76.81
2002-04-01,75.57
2002-05-01,73.96
2002-06-01,75.98
2002-07-01,68.09
2002-08-01,65.46
2002-09-01,76.94
2002-10-01,81.69
2002-11-01,73.59
2002-12-01,68.68
2003-01-01,73.25
2003-02-01,71.47
2003-03-01,78.26
2003-04-01,76.51
2003-05-01,71.75
2003-06-01,77.63
2003-07-01,70.04
2003-08-01,64.05
2003-09-01,81.3
2003-10-01,82.55
2003-11-01,73.07
2003-12-01,78.07
2004-01-01,70.68
2004-02-01,74.89
2004-03-01,88.02
2004-04-01,81.32
2004-05-01,75.71
2004-06-01,89.84
2004-07-01,74.59
2004-08-01,74.86
2004-09-01,90.05
2004-10-01,88.11
2004-11-01,84.86
2004-12-01,87.72
2005-01-01,80.48
2005-02-01,79.05
2005-03-01,89.87
2005-04-01,86.31
2005-05-01,81.14
2005-06-01,92.36
2005-07-01,71.81
2005-08-01,76.12
2005-09-01,92.45
2005-10-01,87.01
2005-11-01,89.45
2005-12-01,88.71
2006-01-01,83.75
2006-02-01,84.86
2006-03-01,99.01
2006-04-01,84.56
2006-05-01,92.72
2006-06-01,97.64
2006-07-01,77.98
2006-08-01,81.86
2006-09-01,96.45
2006-10-01,99.85
2006-11-01,96.15
2006-12-01,90.53
2007-01-01,91.43
2007-02-01,89.7
2007-03-01,102.69
2007-04-01,91.52
2007-05-01,96.17
2007-06-01,104.53
2007-07-01,90.27
2007-08-01,90.27
2007-09-01,100.4
2007-10-01,111.31
2007-11-01,101.32
2007-12-01,94.44
2008-01-01,100.44
2008-02-01,102.05
2008-03-01,104.29
2008-04-01,108.75
2008-05-01,101.31
2008-06-01,108.93
2008-07-01,98.52
2008-08-01,88.84
2008-09-01,111.79
2008-10-01,109.56
2008-11-01,92.45
2008-12-01,94.5
2009-01-01,80.83
2009-02-01,83.68
2009-03-01,94.18
2009-04-01,86.24
2009-05-01,89.03
2009-06-01,94.66
2009-07-01,81.9
2009-08-01,80.23
2009-09-01,96.51
2009-10-01,95.56
2009-11-01,91.9
2009-12-01,89.85
2010-01-01,86.52
2010-02-01,94.57
2010-03-01,107.05
2010-04-01,98.21
2010-05-01,94.57
2010-06-01,111.11
2010-07-01,91.72
2010-08-01,91.27
2010-09-01,110.69
2010-10-01,106.33
2010-11-01,105.1
2010-12-01,102.85
2011-01-01,97.62
2011-02-01,103.84
2011-03-01,124.39
2011-04-01,103.88
2011-05-01,111.97
2011-06-01,108.52
2011-07-01,91.57
2011-08-01,101.05
2011-09-01,115.12
2011-10-01,106.76
2011-11-01,104.09
2011-12-01,101.44
2012-01-01,97.45
2012-02-01,100.65
2012-03-01,118.19
2012-04-01,98.38
2012-05-01,101.35
2012-06-01,109.51
2012-07-01,96.9
2012-08-01,97.32
2012-09-01,106.72
2012-10-01,110.79
2012-11-01,104.16
2012-12-01,100.52
2013-01-01,96.61
2013-02-01,95.03
2013-03-01,107.22
2013-04-01,106.36
2013-05-01,105.14
2013-06-01,109.77
2013-07-01,102.97
2013-08-01,92.74
2013-09-01,109.35
2013-10-01,115.17
2013-11-01,105.58
2013-12-01,101.91
