Time,ipi_Italy
1999-01-01,101.8
1999-02-01,114.3
1999-03-01,130.8
1999-04-01,117.3
1999-05-01,120.6
1999-06-01,127.9
1999-07-01,128.8
1999-08-01,59.4
1999-09-01,128.0
1999-10-01,127.6
1999-11-01,128.2
1999-12-01,111.0
2000-01-01,105.6
2000-02-01,123.8
2000-03-01,135.9
2000-04-01,110.9
2000-05-01,134.0
2000-06-01,133.3
2000-07-01,128.5
2000-08-01,64.8
2000-09-01,129.0
2000-10-01,133.5
2000-11-01,131.8
2000-12-01,107.1
2001-01-01,118.4
2001-02-01,123.4
2001-03-01,137.1
2001-04-01,113.6
2001-05-01,133.2
2001-06-01,129.4
2001-07-01,131.5
2001-08-01,61.6
2001-09-01,122.4
2001-10-01,133.5
2001-11-01,122.6
2001-12-01,100.4
2002-01-01,110.9
2002-02-01,118.7
2002-03-01,126.4
2002-04-01,113.3
2002-05-01,131.3
2002-06-01,121.4
2002-07-01,134.5
2002-08-01,56.8
2002-09-01,125.5
2002-10-01,132.3
2002-11-01,122.7
2002-12-01,105.3
2003-01-01,109.8
2003-02-01,115.4
2003-03-01,124.7
2003-04-01,115.1
2003-05-01,120.8
2003-06-01,118.1
2003-07-01,134.5
2003-08-01,53.1
2003-09-01,125.8
2003-10-01,131.5
2003-11-01,120.9
2003-12-01,104.7
2004-01-01,104.4
2004-02-01,117.2
2004-03-01,131.4
2004-04-01,118.7
2004-05-01,124.1
2004-06-01,123.1
2004-07-01,129.5
2004-08-01,57.5
2004-09-01,126.3
2004-10-01,124.0
2004-11-01,121.0
2004-12-01,107.1
2005-01-01,101.5
2005-02-01,113.3
2005-03-01,122.7
2005-04-01,115.3
2005-05-01,123.6
2005-06-01,118.9
2005-07-01,122.9
2005-08-01,60.9
2005-09-01,124.7
2005-10-01,121.8
2005-11-01,122.6
2005-12-01,101.7
2006-01-01,105.1
2006-02-01,116.5
2006-03-01,133.2
2006-04-01,106.5
2006-05-01,130.1
2006-06-01,125.6
2006-07-01,125.9
2006-08-01,64.8
2006-09-01,126.3
2006-10-01,131.3
2006-11-01,126.4
2006-12-01,102.7
2007-01-01,115.3
2007-02-01,121.3
2007-03-01,134.5
2007-04-01,112.9
2007-05-01,132.8
2007-06-01,127.4
2007-07-01,133.4
2007-08-01,68.6
2007-09-01,125.8
2007-10-01,137.2
2007-11-01,126.0
2007-12-01,98.9
2008-01-01,118.2
2008-02-01,126.7
2008-03-01,125.0
2008-04-01,126.8
2008-05-01,126.2
2008-06-01,122.9
2008-07-01,134.3
2008-08-01,58.5
2008-09-01,124.4
2008-10-01,126.5
2008-11-01,110.2
2008-12-01,87.1
2009-01-01,88.1
2009-02-01,93.8
2009-03-01,99.3
2009-04-01,91.8
2009-05-01,94.8
2009-06-01,96.6
2009-07-01,108.5
2009-08-01,48.8
2009-09-01,104.2
2009-10-01,106.4
2009-11-01,102.9
2009-12-01,83.8
2010-01-01,83.8
2010-02-01,96.4
2010-03-01,110.5
2010-04-01,101.2
2010-05-01,106.5
2010-06-01,108.7
2010-07-01,114.4
2010-08-01,57.3
2010-09-01,111.8
2010-10-01,108.1
2010-11-01,108.7
2010-12-01,92.7
2011-01-01,89.0
2011-02-01,102.9
2011-03-01,114.4
2011-04-01,103.5
2011-05-01,114.3
2011-06-01,108.7
2011-07-01,111.1
2011-08-01,61.5
2011-09-01,108.8
2011-10-01,104.2
2011-11-01,104.9
2011-12-01,85.3
2012-01-01,87.2
2012-02-01,97.4
2012-03-01,106.5
2012-04-01,89.8
2012-05-01,107.3
2012-06-01,100.2
2012-07-01,107.3
2012-08-01,57.6
2012-09-01,97.5
2012-10-01,105.2
2012-11-01,97.1
2012-12-01,75.7
2013-01-01,87.6
2013-02-01,90.4
2013-03-01,94.5
2013-04-01,89.6
2013-05-01,102.6
2013-06-01,95.1
2013-07-01,107.2
2013-08-01,53.5
2013-09-01,98.0
2013-10-01,105.2
2013-11-01,94.7
2013-12-01,77.7
