Time,bde9915_metipi
1980-01-01,81.9
1980-02-01,84.0
1980-03-01,85.2
1980-04-01,86.6
1980-05-01,90.6
1980-06-01,84.2
1980-07-01,90.9
1980-08-01,35.0
1980-09-01,89.6
1980-10-01,98.4
1980-11-01,88.4
1980-12-01,80.2
1981-01-01,76.5
1981-02-01,83.9
1981-03-01,90.5
1981-04-01,81.2
1981-05-01,88.0
1981-06-01,87.8
1981-07-01,93.3
1981-08-01,23.8
1981-09-01,87.2
1981-10-01,92.2
1981-11-01,89.7
1981-12-01,80.9
1982-01-01,74.8
1982-02-01,80.0
1982-03-01,87.4
1982-04-01,79.5
1982-05-01,85.1
1982-06-01,83.2
1982-07-01,84.2
1982-08-01,21.6
1982-09-01,87.9
1982-10-01,82.2
1982-11-01,87.4
1982-12-01,74.7
1983-01-01,77.0
1983-02-01,79.6
1983-03-01,83.4
1983-04-01,79.6
1983-05-01,87.4
1983-06-01,86.5
1983-07-01,82.7
1983-08-01,21.2
1983-09-01,86.3
1983-10-01,80.7
1983-11-01,87.4
1983-12-01,79.7
1984-01-01,77.6
1984-02-01,78.5
1984-03-01,81.2
1984-04-01,69.8
1984-05-01,83.8
1984-06-01,78.7
1984-07-01,77.0
1984-08-01,24.4
1984-09-01,72.9
1984-10-01,81.4
1984-11-01,74.9
1984-12-01,61.9
1985-01-01,70.0
1985-02-01,71.9
1985-03-01,71.6
1985-04-01,72.0
1985-05-01,82.8
1985-06-01,74.0
1985-07-01,83.5
1985-08-01,27.0
1985-09-01,78.8
1985-10-01,92.8
1985-11-01,83.7
1985-12-01,73.5
1986-01-01,72.5
1986-02-01,74.2
1986-03-01,69.5
1986-04-01,81.5
1986-05-01,77.4
1986-06-01,82.0
1986-07-01,86.1
1986-08-01,24.2
1986-09-01,79.9
1986-10-01,91.1
1986-11-01,84.7
1986-12-01,73.4
1987-01-01,70.2
1987-02-01,82.5
1987-03-01,83.9
1987-04-01,80.7
1987-05-01,86.8
1987-06-01,88.2
1987-07-01,96.5
1987-08-01,28.7
1987-09-01,90.1
1987-10-01,94.7
1987-11-01,96.2
1987-12-01,80.9
1988-01-01,76.8
1988-02-01,89.1
1988-03-01,94.6
1988-04-01,91.2
1988-05-01,98.5
1988-06-01,93.6
1988-07-01,93.5
1988-08-01,34.3
1988-09-01,95.6
1988-10-01,98.3
1988-11-01,105.3
1988-12-01,84.9
1989-01-01,95.6
1989-02-01,97.7
1989-03-01,102.0
1989-04-01,104.2
1989-05-01,105.5
1989-06-01,107.4
1989-07-01,100.4
1989-08-01,38.6
1989-09-01,103.9
1989-10-01,107.5
1989-11-01,108.2
1989-12-01,86.0
1990-01-01,101.0
1990-02-01,100.9
1990-03-01,106.4
1990-04-01,92.4
1990-05-01,110.8
1990-06-01,109.7
1990-07-01,105.5
1990-08-01,44.5
1990-09-01,101.6
1990-10-01,110.5
1990-11-01,108.4
1990-12-01,82.8
1991-01-01,101.9
1991-02-01,97.3
1991-03-01,89.9
1991-04-01,101.0
1991-05-01,103.3
1991-06-01,98.5
1991-07-01,102.9
1991-08-01,38.0
1991-09-01,101.2
1991-10-01,116.0
1991-11-01,102.9
1991-12-01,84.2
1992-01-01,96.0
1992-02-01,100.2
1992-03-01,100.0
1992-04-01,97.3
1992-05-01,97.6
1992-06-01,103.6
1992-07-01,105.0
1992-08-01,35.2
1992-09-01,97.7
1992-10-01,99.6
1992-11-01,93.1
1992-12-01,77.1
1993-01-01,77.4
1993-02-01,83.6
1993-03-01,91.6
1993-04-01,83.4
1993-05-01,89.8
1993-06-01,91.5
1993-07-01,91.5
1993-08-01,32.2
1993-09-01,86.2
1993-10-01,85.0
1993-11-01,89.3
1993-12-01,74.6
1994-01-01,75.2
1994-02-01,86.2
1994-03-01,95.4
1994-04-01,86.4
1994-05-01,94.3
1994-06-01,100.3
1994-07-01,92.5
1994-08-01,41.9
1994-09-01,99.9
1994-10-01,97.1
1994-11-01,102.1
1994-12-01,88.2
1995-01-01,96.4
1995-02-01,94.7
1995-03-01,110.3
1995-04-01,92.2
1995-05-01,106.7
1995-06-01,109.8
1995-07-01,104.3
1995-08-01,48.8
1995-09-01,99.2
1995-10-01,102.3
1995-11-01,106.7
1995-12-01,85.3
1996-01-01,95.7
1996-02-01,99.9
1996-03-01,99.0
1996-04-01,97.5
1996-05-01,107.4
1996-06-01,99.7
1996-07-01,107.8
1996-08-01,47.2
1996-09-01,103.4
1996-10-01,116.7
1996-11-01,103.5
1996-12-01,86.3
1997-01-01,94.5
1997-02-01,94.7
1997-03-01,98.1
1997-04-01,110.3
1997-05-01,103.4
1997-06-01,108.4
1997-07-01,114.1
