Time,ipi_Latvia
2000-01-01,59.9
2000-02-01,62.95
2000-03-01,69.08
2000-04-01,62.34
2000-05-01,73.86
2000-06-01,71.48
2000-07-01,65.34
2000-08-01,73.73
2000-09-01,72.64
2000-10-01,78.02
2000-11-01,77.46
2000-12-01,73.87
2001-01-01,69.97
2001-02-01,69.24
2001-03-01,78.71
2001-04-01,73.72
2001-05-01,83.12
2001-06-01,81.11
2001-07-01,77.56
2001-08-01,82.01
2001-09-01,79.6
2001-10-01,87.51
2001-11-01,82.22
2001-12-01,72.87
2002-01-01,74.64
2002-02-01,71.32
2002-03-01,77.6
2002-04-01,83.46
2002-05-01,87.65
2002-06-01,81.66
2002-07-01,84.85
2002-08-01,87.69
2002-09-01,88.13
2002-10-01,94.7
2002-11-01,90.43
2002-12-01,82.15
2003-01-01,79.74
2003-02-01,78.23
2003-03-01,86.84
2003-04-01,89.41
2003-05-01,94.61
2003-06-01,89.55
2003-07-01,93.42
2003-08-01,90.6
2003-09-01,99.96
2003-10-01,103.35
2003-11-01,91.92
2003-12-01,94.4
2004-01-01,84.1
2004-02-01,88.15
2004-03-01,102.0
2004-04-01,99.06
2004-05-01,98.68
2004-06-01,97.5
2004-07-01,96.1
2004-08-01,95.41
2004-09-01,103.34
2004-10-01,101.18
2004-11-01,98.96
2004-12-01,100.1
2005-01-01,87.21
2005-02-01,89.47
2005-03-01,98.59
2005-04-01,105.32
2005-05-01,107.15
2005-06-01,108.54
2005-07-01,102.96
2005-08-01,108.65
2005-09-01,113.2
2005-10-01,113.24
2005-11-01,110.79
2005-12-01,108.45
2006-01-01,96.45
2006-02-01,97.56
2006-03-01,113.8
2006-04-01,105.29
2006-05-01,114.54
2006-06-01,116.72
2006-07-01,107.15
2006-08-01,118.5
2006-09-01,116.68
2006-10-01,121.0
2006-11-01,116.83
2006-12-01,108.75
2007-01-01,103.24
2007-02-01,100.64
2007-03-01,119.13
2007-04-01,107.14
2007-05-01,117.53
2007-06-01,116.85
2007-07-01,109.64
2007-08-01,118.23
2007-09-01,109.99
2007-10-01,118.84
2007-11-01,114.17
2007-12-01,101.66
2008-01-01,104.54
2008-02-01,111.05
2008-03-01,107.96
2008-04-01,120.05
2008-05-01,113.96
2008-06-01,111.05
2008-07-01,109.16
2008-08-01,105.03
2008-09-01,108.92
2008-10-01,113.1
2008-11-01,95.69
2008-12-01,90.5
2009-01-01,76.02
2009-02-01,75.81
2009-03-01,82.22
2009-04-01,88.17
2009-05-01,85.09
2009-06-01,89.34
2009-07-01,86.78
2009-08-01,88.98
2009-09-01,89.62
2009-10-01,92.21
2009-11-01,91.3
2009-12-01,84.3
2010-01-01,74.47
2010-02-01,76.85
2010-03-01,92.17
2010-04-01,99.88
2010-05-01,100.06
2010-06-01,103.09
2010-07-01,105.38
2010-08-01,111.68
2010-09-01,110.46
2010-10-01,114.64
2010-11-01,108.78
2010-12-01,102.54
2011-01-01,85.61
2011-02-01,87.52
2011-03-01,106.3
2011-04-01,111.57
2011-05-01,117.33
2011-06-01,118.33
2011-07-01,112.89
2011-08-01,122.55
2011-09-01,122.58
2011-10-01,121.48
2011-11-01,121.98
2011-12-01,112.34
2012-01-01,103.3
2012-02-01,102.55
2012-03-01,119.54
2012-04-01,121.07
2012-05-01,126.04
2012-06-01,131.24
2012-07-01,124.2
2012-08-01,137.96
2012-09-01,121.56
2012-10-01,134.81
2012-11-01,131.0
2012-12-01,111.85
2013-01-01,103.12
2013-02-01,99.38
2013-03-01,107.22
2013-04-01,123.98
2013-05-01,126.1
2013-06-01,125.83
2013-07-01,133.38
2013-08-01,132.73
2013-09-01,127.08
2013-10-01,137.84
2013-11-01,131.1
2013-12-01,118.47
