Time,ipi_Luxembourg
2000-01-01,81.95
2000-02-01,88.69
2000-03-01,96.12
2000-04-01,91.02
2000-05-01,99.19
2000-06-01,91.62
2000-07-01,93.32
2000-08-01,74.81
2000-09-01,93.9
2000-10-01,95.09
2000-11-01,96.98
2000-12-01,86.2
2001-01-01,92.93
2001-02-01,92.89
2001-03-01,105.63
2001-04-01,93.33
2001-05-01,99.65
2001-06-01,97.99
2001-07-01,100.25
2001-08-01,75.26
2001-09-01,94.77
2001-10-01,105.13
2001-11-01,99.22
2001-12-01,84.09
2002-01-01,94.95
2002-02-01,95.67
2002-03-01,99.93
2002-04-01,103.72
2002-05-01,99.15
2002-06-01,103.08
2002-07-01,103.45
2002-08-01,76.19
2002-09-01,102.63
2002-10-01,116.93
2002-11-01,105.6
2002-12-01,88.11
2003-01-01,103.7
2003-02-01,101.62
2003-03-01,111.48
2003-04-01,110.66
2003-05-01,103.8
2003-06-01,100.88
2003-07-01,108.97
2003-08-01,84.52
2003-09-01,115.1
2003-10-01,118.09
2003-11-01,107.83
2003-12-01,91.67
2004-01-01,106.35
2004-02-01,105.53
2004-03-01,123.8
2004-04-01,113.33
2004-05-01,106.01
2004-06-01,122.14
2004-07-01,114.91
2004-08-01,92.14
2004-09-01,120.82
2004-10-01,118.13
2004-11-01,114.18
2004-12-01,103.19
2005-01-01,111.82
2005-02-01,104.74
2005-03-01,116.43
2005-04-01,113.02
2005-05-01,113.62
2005-06-01,117.76
2005-07-01,124.95
2005-08-01,98.39
2005-09-01,125.36
2005-10-01,123.62
2005-11-01,119.2
2005-12-01,104.08
2006-01-01,118.57
2006-02-01,109.6
2006-03-01,123.64
2006-04-01,113.27
2006-05-01,121.44
2006-06-01,116.47
2006-07-01,119.39
2006-08-01,98.33
2006-09-01,125.21
2006-10-01,127.16
2006-11-01,125.13
2006-12-01,102.79
2007-01-01,123.12
2007-02-01,113.94
2007-03-01,127.6
2007-04-01,118.76
2007-05-01,119.12
2007-06-01,125.2
2007-07-01,119.53
2007-08-01,95.57
2007-09-01,114.38
2007-10-01,125.77
2007-11-01,119.95
2007-12-01,99.24
2008-01-01,116.35
2008-02-01,116.51
2008-03-01,119.76
2008-04-01,124.8
2008-05-01,117.88
2008-06-01,116.81
2008-07-01,124.23
2008-08-01,93.9
2008-09-01,121.13
2008-10-01,112.78
2008-11-01,95.1
2008-12-01,72.84
2009-01-01,86.47
2009-02-01,82.16
2009-03-01,86.59
2009-04-01,88.74
2009-05-01,87.31
2009-06-01,95.75
2009-07-01,95.7
2009-08-01,75.19
2009-09-01,110.44
2009-10-01,105.5
2009-11-01,99.05
2009-12-01,87.86
2010-01-01,90.44
2010-02-01,91.83
2010-03-01,108.41
2010-04-01,104.34
2010-05-01,100.26
2010-06-01,107.73
2010-07-01,100.65
2010-08-01,86.59
2010-09-01,105.1
2010-10-01,105.17
2010-11-01,103.68
2010-12-01,95.74
2011-01-01,98.05
2011-02-01,99.94
2011-03-01,115.36
2011-04-01,103.07
2011-05-01,110.46
2011-06-01,99.94
2011-07-01,103.38
2011-08-01,93.98
2011-09-01,107.64
2011-10-01,109.09
2011-11-01,102.36
2011-12-01,89.31
2012-01-01,96.57
2012-02-01,94.18
2012-03-01,111.11
2012-04-01,97.04
2012-05-01,99.5
2012-06-01,104.5
2012-07-01,104.4
2012-08-01,84.64
2012-09-01,100.67
2012-10-01,105.32
2012-11-01,94.6
2012-12-01,89.39
2013-01-01,91.03
2013-02-01,91.73
2013-03-01,97.93
2013-04-01,95.91
2013-05-01,94.85
2013-06-01,94.24
2013-07-01,100.41
2013-08-01,84.22
2013-09-01,103.21
2013-10-01,106.91
2013-11-01,99.91
2013-12-01,99.39
