Time,ipi_Malta
2000-01-01,94.08
2000-02-01,95.22
2000-03-01,107.89
2000-04-01,98.42
2000-05-01,104.85
2000-06-01,112.63
2000-07-01,108.18
2000-08-01,97.89
2000-09-01,118.59
2000-10-01,114.74
2000-11-01,115.36
2000-12-01,110.45
2001-01-01,101.53
2001-02-01,97.36
2001-03-01,108.01
2001-04-01,93.19
2001-05-01,100.36
2001-06-01,104.5
2001-07-01,103.01
2001-08-01,91.04
2001-09-01,101.21
2001-10-01,99.21
2001-11-01,97.79
2001-12-01,92.63
2002-01-01,88.02
2002-02-01,91.1
2002-03-01,98.65
2002-04-01,96.18
2002-05-01,102.52
2002-06-01,105.22
2002-07-01,112.07
2002-08-01,92.24
2002-09-01,104.0
2002-10-01,106.6
2002-11-01,99.93
2002-12-01,97.9
2003-01-01,94.02
2003-02-01,93.67
2003-03-01,105.97
2003-04-01,102.18
2003-05-01,102.41
2003-06-01,115.02
2003-07-01,113.7
2003-08-01,93.04
2003-09-01,105.0
2003-10-01,108.17
2003-11-01,108.21
2003-12-01,102.82
2004-01-01,93.02
2004-02-01,92.18
2004-03-01,111.74
2004-04-01,109.67
2004-05-01,100.75
2004-06-01,111.88
2004-07-01,108.39
2004-08-01,96.13
2004-09-01,108.92
2004-10-01,102.42
2004-11-01,99.05
2004-12-01,100.65
2005-01-01,86.11
2005-02-01,84.69
2005-03-01,99.22
2005-04-01,92.03
2005-05-01,99.42
2005-06-01,105.86
2005-07-01,98.77
2005-08-01,91.12
2005-09-01,105.93
2005-10-01,96.99
2005-11-01,102.77
2005-12-01,95.7
2006-01-01,86.93
2006-02-01,92.2
2006-03-01,111.56
2006-04-01,94.18
2006-05-01,100.01
2006-06-01,110.6
2006-07-01,110.88
2006-08-01,102.65
2006-09-01,117.56
2006-10-01,109.65
2006-11-01,108.89
2006-12-01,102.47
2007-01-01,95.78
2007-02-01,102.7
2007-03-01,127.53
2007-04-01,106.15
2007-05-01,119.26
2007-06-01,126.59
2007-07-01,119.75
2007-08-01,103.47
2007-09-01,124.85
2007-10-01,110.61
2007-11-01,112.48
2007-12-01,98.18
2008-01-01,99.61
2008-02-01,113.82
2008-03-01,101.97
2008-04-01,110.91
2008-05-01,111.08
2008-06-01,113.95
2008-07-01,119.98
2008-08-01,100.47
2008-09-01,112.94
2008-10-01,114.28
2008-11-01,98.75
2008-12-01,92.33
2009-01-01,86.15
2009-02-01,84.59
2009-03-01,94.6
2009-04-01,89.13
2009-05-01,89.39
2009-06-01,93.04
2009-07-01,99.89
2009-08-01,79.49
2009-09-01,92.77
2009-10-01,100.15
2009-11-01,96.71
2009-12-01,87.9
2010-01-01,85.85
2010-02-01,89.74
2010-03-01,104.0
2010-04-01,107.02
2010-05-01,103.89
2010-06-01,105.63
2010-07-01,117.74
2010-08-01,92.81
2010-09-01,99.96
2010-10-01,103.03
2010-11-01,100.57
2010-12-01,89.76
2011-01-01,106.65
2011-02-01,98.82
2011-03-01,111.54
2011-04-01,105.71
2011-05-01,102.51
2011-06-01,101.88
2011-07-01,102.65
2011-08-01,88.14
2011-09-01,97.36
2011-10-01,101.24
2011-11-01,93.09
2011-12-01,82.81
2012-01-01,99.41
2012-02-01,103.15
2012-03-01,119.81
2012-04-01,110.24
2012-05-01,108.32
2012-06-01,102.79
2012-07-01,116.17
2012-08-01,94.98
2012-09-01,102.93
2012-10-01,114.98
2012-11-01,108.65
2012-12-01,90.63
2013-01-01,105.14
2013-02-01,97.91
2013-03-01,108.2
2013-04-01,110.5
2013-05-01,108.1
2013-06-01,103.12
2013-07-01,101.01
2013-08-01,89.0
2013-09-01,107.86
2013-10-01,99.5
2013-11-01,96.87
2013-12-01,84.53
