Time,ipi_France
1999-01-01,107.1
1999-01-31,109.2
1999-03-02,125.6
1999-04-02,115.2
1999-05-02,108.3
1999-06-02,129.5
1999-07-02,115.3
1999-08-01,81.5
1999-09-01,124.9
1999-10-01,124.1
1999-11-01,118.6
1999-12-01,117.5
2000-01-01,112.2
2000-01-31,118.1
2000-03-01,131.4
2000-04-01,114.3
2000-05-01,120.7
2000-06-01,126.2
2000-07-01,116.3
2000-07-31,86.5
2000-08-31,125.0
2000-09-30,129.8
2000-10-31,123.9
2000-11-30,114.2
2001-01-01,119.2
2001-01-31,118.0
2001-03-02,132.4
2001-04-02,116.8
2001-05-02,116.5
2001-06-02,128.5
2001-07-02,120.2
2001-08-01,88.4
2001-09-01,121.6
2001-10-01,130.4
2001-11-01,119.4
2001-12-01,106.5
2002-01-01,115.1
2002-01-31,113.9
2002-03-02,125.4
2002-04-02,120.7
2002-05-02,111.6
2002-06-02,125.0
2002-07-02,121.6
2002-08-01,83.8
2002-09-01,121.9
2002-10-01,128.1
2002-11-01,115.1
2002-12-01,107.1
2003-01-01,112.7
2003-01-31,111.7
2003-03-02,123.6
2003-04-02,118.4
2003-05-02,106.5
2003-06-02,120.3
2003-07-02,117.7
2003-08-01,77.5
2003-09-01,122.9
2003-10-01,127.6
2003-11-01,111.7
2003-12-01,110.2
2004-01-01,109.5
2004-01-31,112.4
2004-03-01,129.3
2004-04-01,118.4
2004-05-01,108.9
2004-06-01,131.2
2004-07-01,116.3
2004-07-31,80.8
2004-08-31,126.5
2004-09-30,123.1
2004-10-31,116.3
2004-11-30,113.7
2005-01-01,112.6
2005-01-31,111.5
2005-03-02,124.5
2005-04-02,119.1
2005-05-02,114.5
2005-06-02,129.8
2005-07-02,111.6
2005-08-01,82.5
2005-09-01,127.1
2005-10-01,119.6
2005-11-01,119.8
2005-12-01,112.9
2006-01-01,112.9
2006-01-31,110.6
2006-03-02,129.9
2006-04-02,112.4
2006-05-02,117.5
2006-06-02,131.2
2006-07-02,113.1
2006-08-01,85.0
2006-09-01,125.4
2006-10-01,126.4
2006-11-01,121.2
2006-12-01,110.1
2007-01-01,115.5
2007-01-31,114.5
2007-03-02,129.4
2007-04-02,116.6
2007-05-02,116.1
2007-06-02,131.0
2007-07-02,121.4
2007-08-01,87.9
2007-09-01,121.2
2007-10-01,132.2
2007-11-01,122.6
2007-12-01,107.7
2008-01-01,117.4
2008-01-31,119.3
2008-03-01,122.4
2008-04-01,125.2
2008-05-01,111.7
2008-06-01,125.9
2008-07-01,119.5
2008-07-31,78.9
2008-08-31,122.4
2008-09-30,121.2
2008-10-31,101.2
2008-11-30,97.4
2009-01-01,91.2
2009-01-31,90.5
2009-03-02,100.8
2009-04-02,94.7
2009-05-02,88.4
2009-06-02,105.4
2009-07-02,98.2
2009-08-01,68.5
2009-09-01,106.1
2009-10-01,104.5
2009-11-01,98.7
2009-12-01,93.9
2010-01-01,90.6
2010-01-31,93.5
2010-03-02,110.2
2010-04-02,101.0
2010-05-02,96.2
2010-06-02,112.8
2010-07-02,101.7
2010-08-01,73.8
2010-09-01,109.8
2010-10-01,105.2
2010-11-01,103.8
2010-12-01,101.5
2011-01-01,100.2
2011-01-31,102.4
2011-03-02,116.3
2011-04-02,102.6
2011-05-02,111.3
2011-06-02,108.9
2011-07-02,102.1
2011-08-01,77.4
2011-09-01,110.8
2011-10-01,106.3
2011-11-01,106.8
2011-12-01,99.8
2012-01-01,100.2
2012-01-31,100.5
2012-03-01,110.8
2012-04-01,99.6
2012-05-01,96.2
2012-06-01,108.6
2012-07-01,104.3
2012-07-31,77.0
2012-08-31,102.9
2012-09-30,108.3
2012-10-31,102.0
2012-11-30,90.8
2013-01-01,96.7
2013-01-31,95.5
2013-03-02,103.5
2013-04-02,103.1
2013-05-02,96.2
2013-06-02,105.9
2013-07-02,105.7
2013-08-01,71.7
2013-09-01,104.4
2013-10-01,109.6
2013-11-01,98.5
2013-12-01,93.5
