Time,ipi_Finland
1999-01-01,74.6
1999-01-31,75.0
1999-03-02,88.5
1999-04-02,87.0
1999-05-02,87.0
1999-06-02,84.7
1999-07-02,67.0
1999-08-01,80.9
1999-09-01,90.5
1999-10-01,90.7
1999-11-01,89.4
1999-12-01,87.3
2000-01-01,81.2
2000-01-31,82.5
2000-03-01,95.4
2000-04-01,88.1
2000-05-01,101.3
2000-06-01,89.4
2000-07-01,73.8
2000-07-31,95.1
2000-08-31,100.6
2000-09-30,110.1
2000-10-31,104.2
2000-11-30,87.7
2001-01-01,92.7
2001-01-31,85.9
2001-03-02,101.3
2001-04-02,87.5
2001-05-02,98.4
2001-06-02,88.0
2001-07-02,71.6
2001-08-01,96.1
2001-09-01,97.2
2001-10-01,108.8
2001-11-01,102.1
2001-12-01,80.3
2002-01-01,85.6
2002-01-31,81.5
2002-03-02,96.0
2002-04-02,98.4
2002-05-02,101.0
2002-06-02,92.6
2002-07-02,82.1
2002-08-01,94.0
2002-09-01,99.3
2002-10-01,111.7
2002-11-01,104.0
2002-12-01,86.3
2003-01-01,87.0
2003-01-31,86.5
2003-03-02,93.4
2003-04-02,97.3
2003-05-02,97.3
2003-06-02,92.4
2003-07-02,82.1
2003-08-01,92.2
2003-09-01,102.3
2003-10-01,110.5
2003-11-01,100.9
2003-12-01,93.8
2004-01-01,85.8
2004-01-31,86.5
2004-03-01,102.3
2004-04-01,98.3
2004-05-01,103.3
2004-06-01,102.9
2004-07-01,87.2
2004-07-31,102.8
2004-08-31,110.3
2004-09-30,114.8
2004-10-31,110.0
2004-11-30,107.0
2005-01-01,91.2
2005-01-31,89.8
2005-03-02,100.7
2005-04-02,104.4
2005-05-02,101.3
2005-06-02,95.5
2005-07-02,89.2
2005-08-01,104.7
2005-09-01,110.8
2005-10-01,118.7
2005-11-01,113.6
2005-12-01,104.2
2006-01-01,97.9
2006-01-31,97.0
2006-03-02,113.5
2006-04-02,106.4
2006-05-02,121.1
2006-06-02,114.9
2006-07-02,100.9
2006-08-01,114.7
2006-09-01,116.7
2006-10-01,121.9
2006-11-01,118.8
2006-12-01,105.8
2007-01-01,102.0
2007-01-31,102.7
2007-03-02,119.7
2007-04-02,111.4
2007-05-02,126.0
2007-06-02,121.6
2007-07-02,110.2
2007-08-01,121.2
2007-09-01,120.8
2007-10-01,129.7
2007-11-01,132.4
2007-12-01,110.0
2008-01-01,111.6
2008-01-31,111.6
2008-03-01,115.4
2008-04-01,128.3
2008-05-01,131.3
2008-06-01,120.4
2008-07-01,117.6
2008-07-31,114.4
2008-08-31,130.9
2008-09-30,135.0
2008-10-31,117.9
2008-11-30,100.3
2009-01-01,78.3
2009-01-31,86.5
2009-03-02,98.7
2009-04-02,92.7
2009-05-02,95.7
2009-06-02,99.1
2009-07-02,91.1
2009-08-01,92.8
2009-09-01,104.5
2009-10-01,104.4
2009-11-01,100.5
2009-12-01,98.6
2010-01-01,73.1
2010-01-31,82.6
2010-03-02,100.0
2010-04-02,90.9
2010-05-02,105.2
2010-06-02,110.0
2010-07-02,91.1
2010-08-01,102.8
2010-09-01,111.8
2010-10-01,113.8
2010-11-01,110.4
2010-12-01,108.3
2011-01-01,80.6
2011-01-31,88.7
2011-03-02,107.2
2011-04-02,95.5
2011-05-02,112.8
2011-06-02,104.1
2011-07-02,89.5
2011-08-01,107.1
2011-09-01,113.5
2011-10-01,112.0
2011-11-01,113.6
2011-12-01,111.4
2012-01-01,81.1
2012-01-31,85.8
2012-03-01,106.4
2012-04-01,93.0
2012-05-01,112.4
2012-06-01,103.7
2012-07-01,92.1
2012-07-31,106.4
2012-08-31,104.4
2012-09-30,117.0
2012-10-31,110.8
2012-11-30,100.6
2013-01-01,78.2
2013-01-31,79.8
2013-03-02,94.9
2013-04-02,89.7
2013-05-02,103.6
2013-06-02,95.0
2013-07-02,90.4
2013-08-01,100.2
2013-09-01,102.8
2013-10-01,115.0
2013-11-01,107.4
2013-12-01,104.2
