Time,hicp_011000
1995-01-01,83.01
1995-02-01,83.43
1995-03-01,83.69
1995-04-01,83.95
1995-05-01,84.12
1995-06-01,84.03
1995-07-01,83.77
1995-08-01,83.52
1995-09-01,83.6
1995-10-01,83.52
1995-11-01,83.69
1995-12-01,83.86
1996-01-01,84.63
1996-02-01,84.97
1996-03-01,85.57
1996-04-01,85.91
1996-05-01,86.25
1996-06-01,86.08
1996-07-01,85.91
1996-08-01,85.23
1996-09-01,85.06
1996-10-01,84.97
1996-11-01,84.97
1996-12-01,85.23
1997-01-01,86.25
1997-02-01,85.91
1997-03-01,85.57
1997-04-01,85.82
1997-05-01,86.25
1997-06-01,86.25
1997-07-01,86.08
1997-08-01,85.74
1997-09-01,85.91
1997-10-01,85.99
1997-11-01,86.34
1997-12-01,86.59
1998-01-01,87.11
1998-02-01,86.93
1998-03-01,86.85
1998-04-01,87.36
1998-05-01,87.79
1998-06-01,87.87
1998-07-01,87.62
1998-08-01,87.19
1998-09-01,87.02
1998-10-01,86.76
1998-11-01,86.93
1998-12-01,87.28
1999-01-01,87.87
1999-02-01,87.87
1999-03-01,88.04
1999-04-01,88.22
1999-05-01,88.3
1999-06-01,87.87
1999-07-01,87.28
1999-08-01,86.68
1999-09-01,86.68
1999-10-01,86.85
1999-11-01,87.11
1999-12-01,87.45
2000-01-01,87.87
2000-02-01,88.22
2000-03-01,88.04
2000-04-01,88.56
2000-05-01,88.81
2000-06-01,88.81
2000-07-01,88.73
2000-08-01,88.56
2000-09-01,88.64
2000-10-01,88.81
2000-11-01,89.24
2000-12-01,89.84
2001-01-01,90.78
2001-02-01,91.2
2001-03-01,92.06
2001-04-01,93.0
2001-05-01,94.28
2001-06-01,94.45
2001-07-01,94.28
2001-08-01,93.77
2001-09-01,93.85
2001-10-01,94.11
2001-11-01,93.94
2001-12-01,94.62
2002-01-01,96.5
2002-02-01,96.16
2002-03-01,96.33
2002-04-01,96.58
2002-05-01,96.67
2002-06-01,96.33
2002-07-01,95.99
2002-08-01,95.56
2002-09-01,95.82
2002-10-01,95.82
2002-11-01,95.82
2002-12-01,96.24
2003-01-01,97.01
2003-02-01,97.35
2003-03-01,97.78
2003-04-01,98.04
2003-05-01,98.29
2003-06-01,98.63
2003-07-01,98.29
2003-08-01,98.21
2003-09-01,98.89
2003-10-01,98.8
2003-11-01,98.8
2003-12-01,98.8
2004-01-01,99.57
2004-02-01,99.4
2004-03-01,99.57
2004-04-01,99.83
2004-05-01,100.09
2004-06-01,100.17
2004-07-01,99.57
2004-08-01,98.89
2004-09-01,98.8
2004-10-01,98.72
2004-11-01,98.72
2004-12-01,99.32
2005-01-01,99.57
2005-02-01,99.91
2005-03-01,100.43
2005-04-01,100.43
2005-05-01,100.68
2005-06-01,100.51
2005-07-01,99.74
2005-08-01,99.49
2005-09-01,99.4
2005-10-01,99.49
2005-11-01,99.83
2005-12-01,100.51
2006-01-01,101.21
2006-02-01,101.56
2006-03-01,101.61
2006-04-01,101.89
2006-05-01,102.41
2006-06-01,102.53
2006-07-01,102.43
2006-08-01,102.41
2006-09-01,102.76
2006-10-01,102.58
2006-11-01,102.97
2006-12-01,103.21
2007-01-01,103.78
2007-02-01,103.53
2007-03-01,103.56
2007-04-01,104.42
2007-05-01,104.51
2007-06-01,104.62
2007-07-01,104.46
2007-08-01,104.61
2007-09-01,105.28
2007-10-01,106.62
2007-11-01,107.56
2007-12-01,108.29
2008-01-01,109.57
2008-02-01,109.71
2008-03-01,110.25
2008-04-01,110.85
2008-05-01,111.39
2008-06-01,111.59
2008-07-01,111.74
2008-08-01,111.27
2008-09-01,111.4
2008-10-01,111.72
2008-11-01,111.6
2008-12-01,111.82
2009-01-01,112.41
2009-02-01,112.31
2009-03-01,112.03
2009-04-01,111.88
2009-05-01,111.69
2009-06-01,111.28
2009-07-01,110.51
2009-08-01,109.83
2009-09-01,109.83
2009-10-01,109.83
2009-11-01,110.06
2009-12-01,110.17
2010-01-01,111.0
2010-02-01,111.06
2010-03-01,111.57
2010-04-01,111.94
2010-05-01,111.66
2010-06-01,111.68
2010-07-01,111.54
2010-08-01,111.23
2010-09-01,111.18
2010-10-01,111.26
2010-11-01,111.72
2010-12-01,112.19
2011-01-01,112.61
2011-02-01,113.19
2011-03-01,113.7
2011-04-01,113.9
2011-05-01,114.48
2011-06-01,114.4
2011-07-01,114.05
2011-08-01,113.72
2011-09-01,113.92
2011-10-01,114.35
2011-11-01,114.88
2011-12-01,115.19
2012-01-01,115.58
2012-02-01,116.45
2012-03-01,116.82
2012-04-01,116.8
2012-05-01,116.92
2012-06-01,117.45
2012-07-01,116.78
2012-08-01,116.67
2012-09-01,116.98
2012-10-01,117.73
2012-11-01,118.28
2012-12-01,118.83
2013-01-01,119.36
2013-02-01,119.46
2013-03-01,119.85
2013-04-01,120.15
2013-05-01,121.04
2013-06-01,121.56
2013-07-01,121.04
2013-08-01,120.46
2013-09-01,119.8
2013-10-01,119.61
2013-11-01,119.76
2013-12-01,120.67
