Time,hicp_FOODPR
1990-01-01,67.96
1990-01-31,68.49
1990-03-02,68.63
1990-04-02,68.77
1990-05-02,68.88
1990-06-02,68.97
1990-07-02,69.11
1990-08-01,69.26
1990-09-01,69.41
1990-10-01,69.55
1990-11-01,69.7
1990-12-01,69.81
1991-01-01,70.07
1991-01-31,70.23
1991-03-02,70.44
1991-04-02,70.62
1991-05-02,70.78
1991-06-02,70.93
1991-07-02,71.06
1991-08-01,71.27
1991-09-01,71.42
1991-10-01,71.66
1991-11-01,72.05
1991-12-01,72.33
1992-01-01,72.67
1992-01-31,73.0
1992-03-01,73.41
1992-04-01,73.66
1992-05-01,73.97
1992-06-01,74.11
1992-07-01,74.25
1992-07-31,74.39
1992-08-31,74.56
1992-09-30,74.69
1992-10-31,74.78
1992-11-30,75.02
1993-01-01,75.6
1993-01-31,75.91
1993-03-02,76.06
1993-04-02,76.21
1993-05-02,76.36
1993-06-02,76.6
1993-07-02,76.73
1993-08-01,76.82
1993-09-01,76.94
1993-10-01,77.04
1993-11-01,77.16
1993-12-01,77.27
1994-01-01,77.74
1994-01-31,78.05
1994-03-02,78.22
1994-04-02,78.27
1994-05-02,78.45
1994-06-02,78.49
1994-07-02,78.58
1994-08-01,78.78
1994-09-01,79.07
1994-10-01,79.22
1994-11-01,79.52
1994-12-01,79.65
1995-01-01,79.89
1995-01-31,80.1
1995-03-02,80.41
1995-04-02,80.53
1995-05-02,80.65
1995-06-02,80.72
1995-07-02,80.84
1995-08-01,81.08
1995-09-01,81.18
1995-10-01,81.28
1995-11-01,81.36
1995-12-01,81.44
1996-01-01,81.88
1996-01-31,82.08
1996-03-01,82.25
1996-04-01,82.32
1996-05-01,82.33
1996-06-01,82.38
1996-07-01,82.43
1996-07-31,82.49
1996-08-31,82.54
1996-09-30,82.56
1996-10-31,82.75
1996-11-30,82.91
1997-01-01,83.14
1997-01-31,83.19
1997-03-02,83.33
1997-04-02,83.36
1997-05-02,83.42
1997-06-02,83.53
1997-07-02,83.62
1997-08-01,83.72
1997-09-01,83.88
1997-10-01,83.94
1997-11-01,83.98
1997-12-01,84.04
1998-01-01,84.23
1998-01-31,84.29
1998-03-02,84.51
1998-04-02,84.54
1998-05-02,84.86
1998-06-02,84.89
1998-07-02,84.92
1998-08-01,84.96
1998-09-01,84.97
1998-10-01,85.02
1998-11-01,85.02
1998-12-01,84.99
1999-01-01,85.28
1999-01-31,85.35
1999-03-02,85.46
1999-04-02,85.51
1999-05-02,85.51
1999-06-02,85.52
1999-07-02,85.55
1999-08-01,85.54
1999-09-01,85.54
1999-10-01,85.75
1999-11-01,85.82
1999-12-01,85.86
2000-01-01,86.18
2000-01-31,86.25
2000-03-01,86.29
2000-04-01,86.31
2000-05-01,86.4
2000-06-01,86.43
2000-07-01,86.45
2000-07-31,86.56
2000-08-31,86.69
2000-09-30,86.84
2000-10-31,87.06
2000-11-30,87.14
2001-01-01,87.58
2001-01-31,87.97
2001-03-02,88.15
2001-04-02,88.5
2001-05-02,88.76
2001-06-02,89.02
2001-07-02,89.24
2001-08-01,89.46
2001-09-01,89.67
2001-10-01,89.89
2001-11-01,90.03
2001-12-01,90.13
2002-01-01,90.91
2002-01-31,90.94
2002-03-02,91.08
2002-04-02,91.38
2002-05-02,91.57
2002-06-02,91.76
2002-07-02,91.91
2002-08-01,92.12
2002-09-01,92.19
2002-10-01,92.25
2002-11-01,92.36
2002-12-01,92.53
2003-01-01,93.46
2003-01-31,93.85
2003-03-02,94.05
2003-04-02,94.4
2003-05-02,94.56
2003-06-02,94.71
2003-07-02,94.8
2003-08-01,94.93
2003-09-01,95.09
2003-10-01,95.51
2003-11-01,96.02
2003-12-01,96.06
2004-01-01,96.55
2004-01-31,96.84
2004-03-01,97.89
2004-04-01,98.04
2004-05-01,98.27
2004-06-01,98.32
2004-07-01,98.38
2004-07-31,98.38
2004-08-31,98.26
2004-09-30,98.22
2004-10-31,98.2
2004-11-30,99.15
2005-01-01,99.28
2005-01-31,99.41
2005-03-02,99.46
2005-04-02,99.66
2005-05-02,99.73
2005-06-02,99.83
2005-07-02,99.93
2005-08-01,100.02
2005-09-01,100.48
2005-10-01,100.57
2005-11-01,100.73
2005-12-01,100.89
2006-01-01,101.12
2006-01-31,101.34
2006-03-02,101.72
2006-04-02,101.83
2006-05-02,101.96
2006-06-02,102.02
2006-07-02,102.22
2006-08-01,102.24
2006-09-01,102.32
2006-10-01,102.84
2006-11-01,102.96
2006-12-01,103.03
2007-01-01,103.31
2007-01-31,103.49
2007-03-02,103.64
2007-04-02,103.8
2007-05-02,103.93
2007-06-02,104.07
2007-07-02,104.2
2007-08-01,104.83
2007-09-01,105.52
2007-10-01,106.77
2007-11-01,107.67
2007-12-01,108.28
2008-01-01,109.38
2008-01-31,110.22
2008-03-01,110.64
2008-04-01,111.02
2008-05-01,111.12
2008-06-01,111.33
2008-07-01,111.7
2008-07-31,111.95
2008-08-31,112.05
2008-09-30,112.2
2008-10-31,112.19
2008-11-30,112.12
2009-01-01,112.36
2009-01-31,112.37
2009-03-02,112.4
2009-04-02,112.37
2009-05-02,112.23
2009-06-02,112.51
2009-07-02,112.6
2009-08-01,112.67
2009-09-01,112.6
2009-10-01,112.57
2009-11-01,112.79
2009-12-01,112.89
2010-01-01,113.01
2010-01-31,113.02
2010-03-02,113.01
2010-04-02,113.07
2010-05-02,113.2
2010-06-02,113.47
2010-07-02,113.56
2010-08-01,113.75
2010-09-01,113.72
2010-10-01,113.94
2010-11-01,114.27
2010-12-01,114.59
2011-01-01,115.02
2011-01-31,115.33
2011-03-02,115.81
2011-04-02,116.25
2011-05-02,116.77
2011-06-02,116.99
2011-07-02,117.47
2011-08-01,117.85
2011-09-01,118.23
2011-10-01,118.82
2011-11-01,119.16
2011-12-01,119.26
2012-01-01,119.7
2012-01-31,120.04
2012-03-01,120.34
2012-04-01,120.59
2012-05-01,120.74
2012-06-01,120.79
2012-07-01,120.88
2012-07-31,121.0
2012-08-31,121.14
2012-09-30,121.68
2012-10-31,121.97
2012-11-30,122.08
2013-01-01,122.46
2013-01-31,122.75
2013-03-02,122.99
2013-04-02,123.09
2013-05-02,123.27
2013-06-02,123.38
2013-07-02,123.88
2013-08-01,124.02
2013-09-01,124.08
2013-10-01,124.3
2013-11-01,124.46
2013-12-01,124.49
