Time,hicp_SERV00
1990-01-01,62.21
1990-01-31,62.51
1990-03-02,62.69
1990-04-02,62.89
1990-05-02,63.07
1990-06-02,63.32
1990-07-02,63.56
1990-08-01,63.72
1990-09-01,63.9
1990-10-01,64.11
1990-11-01,64.35
1990-12-01,64.54
1991-01-01,64.98
1991-01-31,65.53
1991-03-02,65.77
1991-04-02,65.83
1991-05-02,66.26
1991-06-02,66.62
1991-07-02,67.36
1991-08-01,67.55
1991-09-01,67.52
1991-10-01,67.56
1991-11-01,67.82
1991-12-01,68.04
1992-01-01,68.56
1992-01-31,69.13
1992-03-01,69.46
1992-04-01,69.77
1992-05-01,70.02
1992-06-01,70.46
1992-07-01,71.06
1992-07-31,71.3
1992-08-31,71.28
1992-09-30,71.36
1992-10-31,71.64
1992-11-30,71.87
1993-01-01,72.34
1993-01-31,72.92
1993-03-02,73.16
1993-04-02,73.4
1993-05-02,73.61
1993-06-02,74.05
1993-07-02,74.66
1993-08-01,74.89
1993-09-01,74.78
1993-10-01,74.84
1993-11-01,74.93
1993-12-01,75.14
1994-01-01,75.42
1994-01-31,76.01
1994-03-02,76.14
1994-04-02,76.21
1994-05-02,76.46
1994-06-02,76.75
1994-07-02,77.38
1994-08-01,77.59
1994-09-01,77.48
1994-10-01,77.49
1994-11-01,77.57
1994-12-01,77.8
1995-01-01,78.05
1995-01-31,78.63
1995-03-02,78.87
1995-04-02,79.0
1995-05-02,79.04
1995-06-02,79.43
1995-07-02,80.08
1995-08-01,80.28
1995-09-01,80.24
1995-10-01,80.22
1995-11-01,80.21
1995-12-01,80.46
1996-01-01,80.78
1996-01-31,81.23
1996-03-01,81.32
1996-04-01,81.3
1996-05-01,81.59
1996-06-01,81.85
1996-07-01,82.28
1996-07-31,82.38
1996-08-31,82.3
1996-09-30,82.17
1996-10-31,82.11
1996-11-30,82.39
1997-01-01,82.71
1997-01-31,83.21
1997-03-02,83.34
1997-04-02,83.15
1997-05-02,83.54
1997-06-02,83.72
1997-07-02,84.3
1997-08-01,84.43
1997-09-01,84.2
1997-10-01,84.01
1997-11-01,84.07
1997-12-01,84.29
1998-01-01,84.39
1998-01-31,84.84
1998-03-02,84.86
1998-04-02,84.88
1998-05-02,85.12
1998-06-02,85.35
1998-07-02,85.92
1998-08-01,86.08
1998-09-01,85.81
1998-10-01,85.72
1998-11-01,85.67
1998-12-01,85.85
1999-01-01,85.82
1999-01-31,86.22
1999-03-02,86.31
1999-04-02,86.25
1999-05-02,86.42
1999-06-02,86.6
1999-07-02,87.29
1999-08-01,87.32
1999-09-01,87.0
1999-10-01,86.83
1999-11-01,86.91
1999-12-01,87.16
