Time,hicp_FOODUN
1990-01-01,73.42
1990-01-31,73.96
1990-03-02,73.84
1990-04-02,74.95
1990-05-02,75.3
1990-06-02,74.93
1990-07-02,74.21
1990-08-01,74.37
1990-09-01,74.66
1990-10-01,74.87
1990-11-01,74.69
1990-12-01,74.85
1991-01-01,76.02
1991-01-31,76.64
1991-03-02,77.07
1991-04-02,77.66
1991-05-02,78.01
1991-06-02,78.8
1991-07-02,79.1
1991-08-01,78.48
1991-09-01,77.94
1991-10-01,78.49
1991-11-01,79.41
1991-12-01,78.63
1992-01-01,79.51
1992-01-31,79.75
1992-03-01,79.62
1992-04-01,79.98
1992-05-01,80.12
1992-06-01,79.57
1992-07-01,78.71
1992-07-31,77.83
1992-08-31,78.02
1992-09-30,77.96
1992-10-31,77.89
1992-11-30,77.68
1993-01-01,78.62
1993-01-31,78.28
1993-03-02,78.55
1993-04-02,78.6
1993-05-02,78.78
1993-06-02,78.34
1993-07-02,78.22
1993-08-01,77.6
1993-09-01,77.95
1993-10-01,78.22
1993-11-01,78.4
1993-12-01,78.68
1994-01-01,78.8
1994-01-31,79.06
1994-03-02,79.11
1994-04-02,79.88
1994-05-02,80.51
1994-06-02,80.72
1994-07-02,80.82
1994-08-01,80.25
1994-09-01,80.62
1994-10-01,80.87
1994-11-01,80.16
1994-12-01,80.26
1995-01-01,81.47
1995-01-31,81.93
1995-03-02,82.15
1995-04-02,82.43
1995-05-02,82.77
1995-06-02,82.51
1995-07-02,81.85
1995-08-01,81.11
1995-09-01,81.08
1995-10-01,80.84
1995-11-01,81.09
1995-12-01,81.33
1996-01-01,82.29
1996-01-31,82.69
1996-03-01,83.49
1996-04-01,84.07
1996-05-01,84.68
1996-06-01,84.31
1996-07-01,84.01
1996-07-31,82.69
1996-08-31,82.35
1996-09-30,82.12
1996-10-31,82.26
1996-11-30,82.7
1997-01-01,84.49
1997-01-31,83.8
1997-03-02,83.26
1997-04-02,83.74
1997-05-02,84.72
1997-06-02,84.74
1997-07-02,84.51
1997-08-01,83.84
1997-09-01,84.17
1997-10-01,84.11
1997-11-01,84.81
1997-12-01,85.1
1998-01-01,85.84
1998-01-31,85.46
1998-03-02,85.39
1998-04-02,86.23
1998-05-02,86.92
1998-06-02,87.16
1998-07-02,86.61
1998-08-01,85.82
1998-09-01,85.45
1998-10-01,85.02
1998-11-01,85.3
1998-12-01,85.86
1999-01-01,86.77
1999-01-31,86.75
1999-03-02,86.87
1999-04-02,87.26
1999-05-02,87.27
1999-06-02,86.55
1999-07-02,85.43
1999-08-01,84.48
1999-09-01,84.46
1999-10-01,84.68
1999-11-01,85.09
1999-12-01,85.62
2000-01-01,86.36
2000-01-31,86.75
2000-03-01,86.46
2000-04-01,87.44
2000-05-01,87.84
2000-06-01,87.91
2000-07-01,87.69
2000-07-31,87.26
2000-08-31,87.28
2000-09-30,87.4
2000-10-31,88.09
2000-11-30,88.96
2001-01-01,90.28
2001-01-31,90.72
2001-03-02,92.14
2001-04-02,93.68
2001-05-02,95.63
2001-06-02,95.67
2001-07-02,95.15
2001-08-01,93.85
2001-09-01,93.8
2001-10-01,93.92
2001-11-01,93.5
2001-12-01,94.54
2002-01-01,97.84
2002-01-31,97.2
2002-03-02,97.3
2002-04-02,97.59
2002-05-02,97.63
2002-06-02,96.8
2002-07-02,96.03
2002-08-01,95.13
2002-09-01,95.44
2002-10-01,95.47
2002-11-01,95.29
2002-12-01,95.81
2003-01-01,97.17
2003-01-31,97.48
2003-03-02,98.03
2003-04-02,98.45
2003-05-02,98.68
2003-06-02,99.25
2003-07-02,98.65
2003-08-01,98.25
2003-09-01,99.44
2003-10-01,99.06
2003-11-01,98.92
2003-12-01,98.89
2004-01-01,99.99
2004-01-31,99.37
2004-03-01,99.68
2004-04-01,99.99
2004-05-01,100.39
2004-06-01,100.47
2004-07-01,99.38
2004-07-31,98.04
2004-08-31,97.91
2004-09-30,97.87
2004-10-31,97.92
2004-11-30,98.92
2005-01-01,99.35
2005-01-31,100.07
2005-03-02,101.01
2005-04-02,100.76
2005-05-02,101.38
2005-06-02,101.01
2005-07-02,99.67
2005-08-01,99.06
2005-09-01,98.92
2005-10-01,98.97
2005-11-01,99.37
2005-12-01,100.44
2006-01-01,101.36
2006-01-31,101.78
2006-03-02,101.61
2006-04-02,102.01
2006-05-02,102.92
2006-06-02,103.14
2006-07-02,102.9
2006-08-01,102.91
2006-09-01,103.49
2006-10-01,103.1
2006-11-01,103.72
2006-12-01,104.13
2007-01-01,105.11
2007-01-31,104.58
2007-03-02,104.51
2007-04-02,106.01
2007-05-02,106.1
2007-06-02,106.2
2007-07-02,105.75
2007-08-01,105.38
2007-09-01,105.62
2007-10-01,106.29
2007-11-01,106.83
2007-12-01,107.35
2008-01-01,108.63
2008-01-31,107.98
2008-03-01,108.5
2008-04-01,109.29
2008-05-01,110.29
2008-06-01,110.46
2008-07-01,110.4
2008-07-31,109.26
2008-08-31,109.4
2008-09-30,109.87
2008-10-31,109.84
2008-11-30,110.37
2009-01-01,111.46
2009-01-31,111.51
2009-03-02,111.13
2009-04-02,111.04
2009-05-02,111.04
2009-06-02,110.5
2009-07-02,109.14
2009-08-01,107.91
2009-09-01,108.02
2009-10-01,108.11
2009-11-01,108.46
2009-12-01,108.65
2010-01-01,110.26
2010-01-31,110.44
2010-03-02,111.46
2010-04-02,112.32
2010-05-02,111.79
2010-06-02,111.7
2010-07-02,111.38
2010-08-01,110.64
2010-09-01,110.55
2010-10-01,110.65
2010-11-01,111.33
2010-12-01,112.09
2011-01-01,112.65
2011-01-31,113.39
2011-03-02,113.91
2011-04-02,113.85
2011-05-02,114.43
2011-06-02,113.89
2011-07-02,112.84
2011-08-01,111.9
2011-09-01,112.09
2011-10-01,112.66
2011-11-01,113.43
2011-12-01,113.9
2012-01-01,114.44
2012-01-31,115.83
2012-03-01,116.38
2012-04-01,116.21
2012-05-01,116.46
2012-06-01,117.43
2012-07-01,116.15
2012-07-31,115.84
2012-08-31,116.28
2012-09-30,117.45
2012-10-31,118.1
2012-11-30,118.96
2013-01-01,119.9
2013-01-31,119.83
2013-03-02,120.5
2013-04-02,121.06
2013-05-02,122.44
2013-06-02,123.32
2013-07-02,122.13
2013-08-01,120.98
2013-09-01,119.67
2013-10-01,119.09
2013-11-01,119.18
2013-12-01,120.78
