Time,bde9915_gipi
1981-01-01,86.3
1981-02-01,87.6
1981-03-01,96.3
1981-04-01,90.4
1981-05-01,90.4
1981-06-01,94.4
1981-07-01,95.2
1981-08-01,36.6
1981-09-01,96.1
1981-10-01,95.6
1981-11-01,92.8
1981-12-01,77.3
1982-01-01,85.1
1982-02-01,86.8
1982-03-01,96.9
1982-04-01,90.5
1982-05-01,88.5
1982-06-01,87.9
1982-07-01,90.2
1982-08-01,36.9
1982-09-01,92.3
1982-10-01,88.0
1982-11-01,86.8
1982-12-01,77.1
1983-01-01,80.7
1983-02-01,82.3
1983-03-01,92.6
1983-04-01,79.5
1983-05-01,87.0
1983-06-01,86.7
1983-07-01,84.8
1983-08-01,38.4
1983-09-01,90.8
1983-10-01,87.7
1983-11-01,89.5
1983-12-01,74.6
1984-01-01,85.4
1984-02-01,85.3
1984-03-01,92.6
1984-04-01,78.9
1984-05-01,93.3
1984-06-01,90.0
1984-07-01,88.6
1984-08-01,43.0
1984-09-01,89.3
1984-10-01,97.5
1984-11-01,89.7
1984-12-01,73.7
1985-01-01,84.1
1985-02-01,87.3
1985-03-01,92.7
1985-04-01,84.5
1985-05-01,93.9
1985-06-01,88.4
1985-07-01,93.9
1985-08-01,39.1
1985-09-01,91.4
1985-10-01,96.5
1985-11-01,89.7
1985-12-01,77.0
1986-01-01,86.2
1986-02-01,88.9
1986-03-01,92.6
1986-04-01,93.6
1986-05-01,92.4
1986-06-01,91.8
1986-07-01,99.0
1986-08-01,37.5
1986-09-01,97.9
1986-10-01,101.0
1986-11-01,91.3
1986-12-01,83.3
1987-01-01,82.9
1987-02-01,90.9
1987-03-01,102.2
1987-04-01,95.3
1987-05-01,96.0
1987-06-01,100.5
1987-07-01,100.5
1987-08-01,39.3
1987-09-01,100.3
1987-10-01,103.0
1987-11-01,99.1
1987-12-01,86.5
1988-01-01,89.4
1988-02-01,99.8
1988-03-01,109.5
1988-04-01,94.2
1988-05-01,104.2
1988-06-01,106.1
1988-07-01,100.8
1988-08-01,46.9
1988-09-01,107.2
1988-10-01,104.3
1988-11-01,106.3
1988-12-01,93.3
1989-01-01,98.3
1989-02-01,101.4
1989-03-01,109.0
1989-04-01,97.5
1989-05-01,107.5
1989-06-01,110.3
1989-07-01,104.2
1989-08-01,50.3
1989-09-01,108.1
1989-10-01,112.2
1989-11-01,109.5
1989-12-01,89.8
1990-01-01,101.2
1990-02-01,101.8
1990-03-01,112.6
1990-04-01,98.1
1990-05-01,110.3
1990-06-01,105.8
1990-07-01,109.0
1990-08-01,51.1
1990-09-01,103.6
1990-10-01,113.8
1990-11-01,104.6
1990-12-01,88.2
1991-01-01,102.9
1991-02-01,99.6
1991-03-01,105.9
1991-04-01,97.6
1991-05-01,108.6
1991-06-01,103.1
1991-07-01,110.9
1991-08-01,46.3
1991-09-01,106.9
1991-10-01,112.8
1991-11-01,105.3
1991-12-01,89.1
1992-01-01,98.1
1992-02-01,102.8
1992-03-01,111.5
1992-04-01,102.4
1992-05-01,103.1
1992-06-01,109.7
1992-07-01,111.1
1992-08-01,43.4
1992-09-01,104.1
1992-10-01,107.1
1992-11-01,105.4
1992-12-01,87.8
1993-01-01,89.3
1993-02-01,98.7
1993-03-01,111.3
1993-04-01,98.5
1993-05-01,102.4
1993-06-01,105.7
1993-07-01,103.9
1993-08-01,45.0
1993-09-01,104.5
1993-10-01,101.9
1993-11-01,104.1
1993-12-01,92.9
1994-01-01,90.2
1994-02-01,99.4
1994-03-01,113.3
1994-04-01,97.9
1994-05-01,110.6
1994-06-01,112.4
1994-07-01,108.8
1994-08-01,52.6
1994-09-01,112.9
1994-10-01,109.2
1994-11-01,111.7
1994-12-01,99.3
1995-01-01,102.8
1995-02-01,107.6
1995-03-01,123.6
1995-04-01,98.9
1995-05-01,117.5
1995-06-01,117.7
1995-07-01,113.4
1995-08-01,58.5
1995-09-01,114.1
1995-10-01,117.8
1995-11-01,115.5
1995-12-01,96.6
1996-01-01,106.1
1996-02-01,111.3
1996-03-01,115.6
1996-04-01,103.5
1996-05-01,115.3
1996-06-01,110.1
1996-07-01,118.1
1996-08-01,52.0
1996-09-01,110.7
1996-10-01,118.2
1996-11-01,108.1
1996-12-01,93.6
