Time,ipi_Slovakia
2000-01-01,40.07
2000-02-01,44.39
2000-03-01,50.15
2000-04-01,47.33
2000-05-01,46.35
2000-06-01,44.58
2000-07-01,44.32
2000-08-01,45.04
2000-09-01,47.4
2000-10-01,51.13
2000-11-01,51.59
2000-12-01,44.06
2001-01-01,44.45
2001-02-01,45.11
2001-03-01,51.52
2001-04-01,46.94
2001-05-01,50.74
2001-06-01,51.59
2001-07-01,46.88
2001-08-01,46.94
2001-09-01,49.69
2001-10-01,54.08
2001-11-01,50.93
2001-12-01,40.0
2002-01-01,42.29
2002-02-01,49.1
2002-03-01,49.69
2002-04-01,50.93
2002-05-01,55.12
2002-06-01,55.32
2002-07-01,53.49
2002-08-01,51.59
2002-09-01,55.45
2002-10-01,58.92
2002-11-01,59.97
2002-12-01,51.39
2003-01-01,54.86
2003-02-01,57.61
2003-03-01,62.39
2003-04-01,59.51
2003-05-01,63.11
2003-06-01,65.93
2003-07-01,64.42
2003-08-01,59.97
2003-09-01,68.61
2003-10-01,73.19
2003-11-01,72.02
2003-12-01,68.02
2004-01-01,56.7
2004-02-01,64.62
2004-03-01,69.0
2004-04-01,65.21
2004-05-01,67.63
2004-06-01,67.63
2004-07-01,61.93
2004-08-01,62.19
2004-09-01,69.13
2004-10-01,71.82
2004-11-01,69.33
2004-12-01,71.69
2005-01-01,57.09
2005-02-01,59.9
2005-03-01,65.86
2005-04-01,64.36
2005-05-01,66.97
2005-06-01,67.56
2005-07-01,60.75
2005-08-01,61.02
2005-09-01,68.28
2005-10-01,72.21
2005-11-01,74.57
2005-12-01,66.91
2006-01-01,67.3
2006-02-01,67.24
2006-03-01,79.41
2006-04-01,71.16
2006-05-01,80.33
2006-06-01,81.64
2006-07-01,75.35
2006-08-01,79.22
2006-09-01,87.07
2006-10-01,92.57
2006-11-01,91.46
2006-12-01,78.17
2007-01-01,87.4
2007-02-01,85.11
2007-03-01,97.55
2007-04-01,89.95
2007-05-01,100.36
2007-06-01,96.83
2007-07-01,87.47
2007-08-01,89.69
2007-09-01,102.92
2007-10-01,112.15
2007-11-01,114.77
2007-12-01,88.58
2008-01-01,107.7
2008-02-01,113.9
2008-03-01,112.3
2008-04-01,123.5
2008-05-01,119.8
2008-06-01,127.8
2008-07-01,115.3
2008-08-01,97.9
2008-09-01,117.2
2008-10-01,121.1
2008-11-01,110.4
2008-12-01,77.8
2009-01-01,72.4
2009-02-01,81.7
2009-03-01,94.3
2009-04-01,89.4
2009-05-01,86.3
2009-06-01,97.2
2009-07-01,88.2
2009-08-01,88.6
2009-09-01,102.9
2009-10-01,106.9
2009-11-01,100.1
2009-12-01,84.9
2010-01-01,80.9
2010-02-01,91.1
2010-03-01,106.3
2010-04-01,98.1
2010-05-01,99.9
2010-06-01,105.5
2010-07-01,92.2
2010-08-01,92.0
2010-09-01,107.7
2010-10-01,112.9
2010-11-01,114.9
2010-12-01,98.3
2011-01-01,96.3
2011-02-01,99.8
2011-03-01,116.0
2011-04-01,107.5
2011-05-01,114.1
2011-06-01,113.5
2011-07-01,93.2
2011-08-01,97.4
2011-09-01,114.5
2011-10-01,118.5
2011-11-01,115.8
2011-12-01,99.3
2012-01-01,106.2
2012-02-01,114.4
2012-03-01,129.5
2012-04-01,120.1
2012-05-01,131.9
2012-06-01,125.7
2012-07-01,110.7
2012-08-01,111.1
2012-09-01,126.2
2012-10-01,133.8
2012-11-01,128.5
2012-12-01,93.9
2013-01-01,111.6
2013-02-01,116.3
2013-03-01,123.4
2013-04-01,131.5
2013-05-01,133.8
2013-06-01,127.8
2013-07-01,117.3
2013-08-01,116.4
2013-09-01,138.3
2013-10-01,147.1
2013-11-01,145.5
2013-12-01,112.0
