Time,ipi_Greece
2000-01-01,106.29
2000-02-01,120.87
2000-03-01,133.69
2000-04-01,130.13
2000-05-01,136.88
2000-06-01,141.51
2000-07-01,138.97
2000-08-01,118.33
2000-09-01,135.58
2000-10-01,130.5
2000-11-01,129.9
2000-12-01,119.68
2001-01-01,112.04
2001-02-01,114.48
2001-03-01,131.66
2001-04-01,114.72
2001-05-01,133.46
2001-06-01,133.68
2001-07-01,132.73
2001-08-01,112.22
2001-09-01,126.02
2001-10-01,130.19
2001-11-01,126.24
2001-12-01,104.25
2002-01-01,104.06
2002-02-01,114.19
2002-03-01,122.32
2002-04-01,130.31
2002-05-01,121.31
2002-06-01,128.69
2002-07-01,136.66
2002-08-01,107.88
2002-09-01,125.53
2002-10-01,127.73
2002-11-01,123.53
2002-12-01,113.14
2003-01-01,106.15
2003-02-01,107.44
2003-03-01,117.86
2003-04-01,119.04
2003-05-01,130.48
2003-06-01,129.88
2003-07-01,139.14
2003-08-01,99.24
2003-09-01,134.68
2003-10-01,127.34
2003-11-01,118.27
2003-12-01,117.96
2004-01-01,102.82
2004-02-01,107.79
2004-03-01,128.87
2004-04-01,121.97
2004-05-01,131.91
2004-06-01,133.33
2004-07-01,141.34
2004-08-01,102.2
2004-09-01,132.91
2004-10-01,115.16
2004-11-01,121.68
2004-12-01,116.1
2005-01-01,101.05
2005-02-01,110.35
2005-03-01,118.42
2005-04-01,117.34
2005-05-01,127.08
2005-06-01,128.2
2005-07-01,129.65
2005-08-01,106.76
2005-09-01,133.33
2005-10-01,121.42
2005-11-01,121.99
2005-12-01,115.29
2006-01-01,101.25
2006-02-01,110.94
2006-03-01,127.96
2006-04-01,118.41
2006-05-01,133.39
2006-06-01,135.66
2006-07-01,134.34
2006-08-01,109.51
2006-09-01,130.49
2006-10-01,124.26
2006-11-01,118.62
2006-12-01,114.48
2007-01-01,111.31
2007-02-01,113.6
2007-03-01,131.27
2007-04-01,116.92
2007-05-01,135.88
2007-06-01,135.82
2007-07-01,137.33
2007-08-01,110.34
2007-09-01,129.85
2007-10-01,129.62
2007-11-01,124.98
2007-12-01,114.02
2008-01-01,110.98
2008-02-01,112.2
2008-03-01,120.05
2008-04-01,122.12
2008-05-01,124.96
2008-06-01,130.24
2008-07-01,136.4
2008-08-01,102.86
2008-09-01,126.66
2008-10-01,118.83
2008-11-01,109.46
2008-12-01,105.37
2009-01-01,93.25
2009-02-01,100.93
2009-03-01,106.08
2009-04-01,105.39
2009-05-01,112.8
2009-06-01,118.14
2009-07-01,122.93
2009-08-01,93.42
2009-09-01,113.73
2009-10-01,105.21
2009-11-01,103.26
2009-12-01,98.75
2010-01-01,85.89
2010-02-01,87.91
2010-03-01,107.9
2010-04-01,96.3
2010-05-01,105.81
2010-06-01,111.89
2010-07-01,111.26
2010-08-01,93.07
2010-09-01,103.15
2010-10-01,98.86
2010-11-01,99.57
2010-12-01,98.39
2011-01-01,82.45
2011-02-01,85.79
2011-03-01,95.4
2011-04-01,86.76
2011-05-01,98.05
2011-06-01,98.34
2011-07-01,106.89
2011-08-01,83.46
2011-09-01,102.22
2011-10-01,86.1
2011-11-01,87.85
2011-12-01,83.33
2012-01-01,76.39
2012-02-01,76.74
2012-03-01,90.87
2012-04-01,81.74
2012-05-01,94.49
2012-06-01,93.41
2012-07-01,99.99
2012-08-01,85.24
2012-09-01,92.44
2012-10-01,93.17
2012-11-01,87.15
2012-12-01,79.74
2013-01-01,77.61
2013-02-01,75.51
2013-03-01,86.1
2013-04-01,91.16
2013-05-01,88.09
2013-06-01,93.92
2013-07-01,99.05
2013-08-01,81.85
2013-09-01,89.96
2013-10-01,86.59
2013-11-01,83.41
2013-12-01,78.97
