Time,hicp_000000
1990-01-01,69.46
1990-01-31,69.71
1990-03-02,69.88
1990-04-02,70.14
1990-05-02,70.3
1990-06-02,70.39
1990-07-02,70.39
1990-08-01,70.81
1990-09-01,71.32
1990-10-01,71.74
1990-11-01,71.74
1990-12-01,71.74
1991-01-01,72.17
1991-01-31,72.59
1991-03-02,72.59
1991-04-02,72.84
1991-05-02,73.18
1991-06-02,73.43
1991-07-02,73.94
1991-08-01,74.03
1991-09-01,74.11
1991-10-01,74.37
1991-11-01,74.7
1991-12-01,74.7
1992-01-01,74.96
1992-01-31,75.38
1992-03-01,75.72
1992-04-01,75.89
1992-05-01,76.14
1992-06-01,76.31
1992-07-01,76.4
1992-07-31,76.48
1992-08-31,76.57
1992-09-30,76.73
1992-10-31,76.99
1992-11-30,77.07
1993-01-01,77.5
1993-01-31,77.92
1993-03-02,78.17
1993-04-02,78.34
1993-05-02,78.51
1993-06-02,78.68
1993-07-02,78.93
1993-08-01,79.02
1993-09-01,79.1
1993-10-01,79.27
1993-11-01,79.44
1993-12-01,79.53
1994-01-01,79.78
1994-01-31,80.2
1994-03-02,80.37
1994-04-02,80.46
1994-05-02,80.71
1994-06-02,80.8
1994-07-02,80.96
1994-08-01,81.13
1994-09-01,81.22
1994-10-01,81.3
1994-11-01,81.39
1994-12-01,81.56
1995-01-01,81.73
1995-01-31,82.15
1995-03-02,82.4
1995-04-02,82.57
1995-05-02,82.66
1995-06-02,82.91
1995-07-02,82.91
1995-08-01,82.99
1995-09-01,83.16
1995-10-01,83.25
1995-11-01,83.33
1995-12-01,83.5
1996-01-01,83.67
1996-01-31,84.09
1996-03-01,84.35
1996-04-01,84.52
1996-05-01,84.69
1996-06-01,84.69
1996-07-01,84.69
1996-07-31,84.69
1996-08-31,84.86
1996-09-30,84.94
1996-10-31,84.94
1996-11-30,85.11
1997-01-01,85.36
1997-01-31,85.62
1997-03-02,85.7
1997-04-02,85.62
1997-05-02,85.87
1997-06-02,85.87
1997-07-02,85.96
1997-08-01,86.13
1997-09-01,86.21
1997-10-01,86.21
1997-11-01,86.29
1997-12-01,86.38
1998-01-01,86.29
1998-01-31,86.55
1998-03-02,86.63
1998-04-02,86.8
1998-05-02,86.97
1998-06-02,87.06
1998-07-02,87.06
1998-08-01,87.06
1998-09-01,87.06
1998-10-01,86.97
1998-11-01,86.97
1998-12-01,87.06
1999-01-01,86.97
1999-01-31,87.23
1999-03-02,87.48
1999-04-02,87.73
1999-05-02,87.82
1999-06-02,87.82
1999-07-02,87.99
1999-08-01,88.07
1999-09-01,88.07
1999-10-01,88.16
1999-11-01,88.24
1999-12-01,88.58
2000-01-01,88.58
2000-01-31,88.92
2000-03-01,89.17
2000-04-01,89.26
2000-05-01,89.34
2000-06-01,89.68
2000-07-01,89.76
2000-07-31,89.85
2000-08-31,90.27
2000-09-30,90.27
2000-10-31,90.44
2000-11-30,90.78
2001-01-01,90.36
2001-01-31,90.61
2001-03-02,91.12
2001-04-02,91.71
2001-05-02,92.13
2001-06-02,92.22
2001-07-02,92.05
2001-08-01,91.96
2001-09-01,92.22
2001-10-01,92.3
2001-11-01,92.22
2001-12-01,92.64
2002-01-01,92.72
2002-01-31,92.89
2002-03-02,93.4
2002-04-02,93.82
2002-05-02,93.99
2002-06-02,93.99
2002-07-02,93.91
2002-08-01,93.91
2002-09-01,94.16
2002-10-01,94.42
2002-11-01,94.33
2002-12-01,94.75
2003-01-01,94.67
2003-01-31,95.09
2003-03-02,95.69
2003-04-02,95.77
2003-05-02,95.69
2003-06-02,95.77
2003-07-02,95.69
2003-08-01,95.85
2003-09-01,96.19
2003-10-01,96.28
2003-11-01,96.36
2003-12-01,96.62
2004-01-01,96.45
2004-01-31,96.62
2004-03-01,97.29
2004-04-01,97.72
2004-05-01,98.05
2004-06-01,98.05
2004-07-01,97.88
2004-07-31,98.05
2004-08-31,98.22
2004-09-30,98.56
2004-10-31,98.48
2004-11-30,98.9
2005-01-01,98.31
2005-01-31,98.65
2005-03-02,99.32
2005-04-02,99.75
2005-05-02,100.0
2005-06-02,100.08
2005-07-02,100.0
2005-08-01,100.25
2005-09-01,100.76
2005-10-01,101.02
2005-11-01,100.76
2005-12-01,101.1
2006-01-01,100.66
2006-01-31,100.95
2006-03-02,101.53
2006-04-02,102.2
2006-05-02,102.48
2006-06-02,102.56
2006-07-02,102.43
2006-08-01,102.52
2006-09-01,102.52
2006-10-01,102.6
2006-11-01,102.64
2006-12-01,103.04
2007-01-01,102.51
2007-01-31,102.81
2007-03-02,103.5
2007-04-02,104.15
2007-05-02,104.4
2007-06-02,104.5
2007-07-02,104.25
2007-08-01,104.31
2007-09-01,104.71
2007-10-01,105.22
2007-11-01,105.78
2007-12-01,106.2
2008-01-01,105.8
2008-01-31,106.17
2008-03-01,107.21
2008-04-01,107.55
2008-05-01,108.23
2008-06-01,108.64
2008-07-01,108.47
2008-07-31,108.32
2008-08-31,108.52
2008-09-30,108.55
2008-10-31,108.02
2008-11-30,107.88
2009-01-01,106.98
2009-01-31,107.42
2009-03-02,107.82
2009-04-02,108.21
2009-05-02,108.27
2009-06-02,108.48
2009-07-02,107.77
2009-08-01,108.14
2009-09-01,108.16
2009-10-01,108.41
2009-11-01,108.54
2009-12-01,108.88
2010-01-01,107.99
2010-01-31,108.33
2010-03-02,109.53
2010-04-02,109.98
2010-05-02,110.1
2010-06-02,110.1
2010-07-02,109.63
2010-08-01,109.85
2010-09-01,110.19
2010-10-01,110.52
2010-11-01,110.62
2010-12-01,111.29
2011-01-01,110.49
2011-01-31,110.96
2011-03-02,112.46
2011-04-02,113.09
2011-05-02,113.09
2011-06-02,113.08
2011-07-02,112.44
2011-08-01,112.65
2011-09-01,113.47
2011-10-01,113.87
2011-11-01,113.97
2011-12-01,114.35
2012-01-01,113.42
2012-01-31,113.99
2012-03-01,115.46
2012-04-01,116.0
2012-05-01,115.84
2012-06-01,115.75
2012-07-01,115.15
2012-07-31,115.59
2012-08-31,116.43
2012-09-30,116.71
2012-10-31,116.47
2012-11-30,116.89
2013-01-01,115.67
2013-01-31,116.09
2013-03-02,117.47
2013-04-02,117.36
2013-05-02,117.49
2013-06-02,117.61
2013-07-02,116.99
2013-08-01,117.14
2013-09-01,117.71
2013-10-01,117.56
2013-11-01,117.47
2013-12-01,117.88
