Time,hicp_IGXE00
1990-01-01,80.0
1990-02-01,80.39
1990-03-01,80.66
1990-04-01,80.81
1990-05-01,81.02
1990-06-01,81.11
1990-07-01,81.06
1990-08-01,81.22
1990-09-01,81.43
1990-10-01,81.73
1990-11-01,82.13
1990-12-01,82.31
1991-01-01,82.37
1991-02-01,82.7
1991-03-01,82.98
1991-04-01,83.27
1991-05-01,83.55
1991-06-01,83.7
1991-07-01,83.68
1991-08-01,83.8
1991-09-01,84.05
1991-10-01,84.52
1991-11-01,84.83
1991-12-01,84.95
1992-01-01,85.0
1992-02-01,85.38
1992-03-01,85.79
1992-04-01,85.96
1992-05-01,86.12
1992-06-01,86.1
1992-07-01,86.09
1992-08-01,86.32
1992-09-01,86.64
1992-10-01,86.86
1992-11-01,87.22
1992-12-01,87.26
1993-01-01,87.47
1993-02-01,88.02
1993-03-01,88.41
1993-04-01,88.55
1993-05-01,88.74
1993-06-01,88.82
1993-07-01,88.75
1993-08-01,88.93
1993-09-01,89.18
1993-10-01,89.48
1993-11-01,89.62
1993-12-01,89.61
1994-01-01,89.65
1994-02-01,89.88
1994-03-01,90.19
1994-04-01,90.25
1994-05-01,90.37
1994-06-01,90.3
1994-07-01,90.16
1994-08-01,90.28
1994-09-01,90.58
1994-10-01,90.8
1994-11-01,90.92
1994-12-01,90.96
1995-01-01,90.91
1995-02-01,91.28
1995-03-01,91.58
1995-04-01,91.75
1995-05-01,91.87
1995-06-01,91.94
1995-07-01,91.72
1995-08-01,91.99
1995-09-01,92.41
1995-10-01,92.64
1995-11-01,92.83
1995-12-01,92.81
1996-01-01,92.57
1996-02-01,92.93
1996-03-01,93.38
1996-04-01,93.45
1996-05-01,93.52
1996-06-01,93.49
1996-07-01,93.21
1996-08-01,93.28
1996-09-01,93.59
1996-10-01,93.79
1996-11-01,93.73
1996-12-01,93.77
1997-01-01,93.4
1997-02-01,93.68
1997-03-01,93.99
1997-04-01,94.03
1997-05-01,94.06
1997-06-01,93.89
1997-07-01,93.53
1997-08-01,93.7
1997-09-01,94.09
1997-10-01,94.24
1997-11-01,94.36
1997-12-01,94.37
1998-01-01,93.95
1998-02-01,94.35
1998-03-01,94.68
1998-04-01,94.89
1998-05-01,94.96
1998-06-01,94.9
1998-07-01,94.5
1998-08-01,94.72
1998-09-01,95.1
1998-10-01,95.21
1998-11-01,95.28
1998-12-01,95.25
1999-01-01,94.8
1999-02-01,95.12
1999-03-01,95.46
1999-04-01,95.54
1999-05-01,95.57
1999-06-01,95.52
1999-07-01,95.07
1999-08-01,95.31
1999-09-01,95.57
1999-10-01,95.73
1999-11-01,95.85
1999-12-01,95.81
2000-01-01,95.29
2000-02-01,95.48
2000-03-01,95.86
2000-04-01,95.92
2000-05-01,95.95
2000-06-01,95.93
2000-07-01,95.25
2000-08-01,95.63
2000-09-01,96.07
2000-10-01,96.32
2000-11-01,96.47
2000-12-01,96.48
2001-01-01,95.49
2001-02-01,95.27
2001-03-01,96.44
2001-04-01,96.95
2001-05-01,97.16
2001-06-01,97.12
2001-07-01,96.04
2001-08-01,96.15
2001-09-01,97.05
2001-10-01,97.66
2001-11-01,97.91
2001-12-01,97.97
2002-01-01,97.04
2002-02-01,96.97
2002-03-01,98.07
2002-04-01,98.59
2002-05-01,98.69
2002-06-01,98.61
2002-07-01,97.34
2002-08-01,97.36
2002-09-01,98.3
2002-10-01,98.87
2002-11-01,99.16
2002-12-01,99.13
2003-01-01,97.65
2003-02-01,97.67
2003-03-01,98.84
2003-04-01,99.38
2003-05-01,99.62
2003-06-01,99.42
2003-07-01,98.02
2003-08-01,97.94
2003-09-01,99.06
2003-10-01,99.68
2003-11-01,99.89
2003-12-01,99.83
2004-01-01,98.27
2004-02-01,98.49
2004-03-01,99.58
2004-04-01,100.35
2004-05-01,100.48
2004-06-01,100.34
2004-07-01,98.72
2004-08-01,98.83
2004-09-01,99.9
2004-10-01,100.52
2004-11-01,100.73
2004-12-01,100.59
2005-01-01,98.74
2005-02-01,98.68
2005-03-01,99.94
2005-04-01,100.68
2005-05-01,100.82
2005-06-01,100.59
2005-07-01,98.74
2005-08-01,98.82
2005-09-01,100.08
2005-10-01,100.82
2005-11-01,101.11
2005-12-01,100.98
2006-01-01,98.96
2006-02-01,98.95
2006-03-01,100.49
2006-04-01,101.34
2006-05-01,101.52
2006-06-01,101.33
2006-07-01,99.34
2006-08-01,99.42
2006-09-01,100.9
2006-10-01,101.63
2006-11-01,101.91
2006-12-01,101.87
2007-01-01,99.84
2007-02-01,100.06
2007-03-01,101.71
2007-04-01,102.44
2007-05-01,102.57
2007-06-01,102.34
2007-07-01,100.22
2007-08-01,100.39
2007-09-01,101.9
2007-10-01,102.7
2007-11-01,103.01
2007-12-01,102.9
2008-01-01,100.56
2008-02-01,100.88
2008-03-01,102.61
2008-04-01,103.25
2008-05-01,103.32
2008-06-01,103.15
2008-07-01,100.71
2008-08-01,101.14
2008-09-01,102.81
2008-10-01,103.71
2008-11-01,103.94
2008-12-01,103.77
2009-01-01,101.05
2009-02-01,101.57
2009-03-01,103.42
2009-04-01,104.09
2009-05-01,104.12
2009-06-01,103.82
2009-07-01,101.22
2009-08-01,101.75
2009-09-01,103.29
2009-10-01,104.06
2009-11-01,104.21
2009-12-01,104.21
2010-01-01,100.94
2010-02-01,101.45
2010-03-01,103.97
2010-04-01,104.55
2010-05-01,104.63
2010-06-01,104.42
2010-07-01,101.62
2010-08-01,102.05
2010-09-01,104.23
2010-10-01,104.94
2010-11-01,105.1
2010-12-01,104.95
2011-01-01,101.44
2011-02-01,101.52
2011-03-01,104.86
2011-04-01,105.63
2011-05-01,105.72
2011-06-01,105.4
2011-07-01,101.6
2011-08-01,102.07
2011-09-01,105.48
2011-10-01,106.27
2011-11-01,106.42
2011-12-01,106.19
2012-01-01,102.4
2012-02-01,102.58
2012-03-01,106.3
2012-04-01,107.02
2012-05-01,107.07
2012-06-01,106.76
2012-07-01,103.12
2012-08-01,103.17
2012-09-01,106.75
2012-10-01,107.44
2012-11-01,107.59
2012-12-01,107.3
2013-01-01,103.19
2013-02-01,103.38
2013-03-01,107.32
2013-04-01,107.9
2013-05-01,107.91
2013-06-01,107.54
2013-07-01,103.56
2013-08-01,103.6
2013-09-01,107.16
2013-10-01,107.79
2013-11-01,107.85
2013-12-01,107.57
