Time,bde9915_euprin
1981-01-01,72.99
1981-01-31,73.45
1981-03-02,73.9
1981-04-02,74.42
1981-05-02,74.92
1981-06-02,75.33
1981-07-02,75.81
1981-08-01,76.15
1981-09-01,76.72
1981-10-01,77.41
1981-11-01,78.01
1981-12-01,78.58
1982-01-01,80.31
1982-01-31,81.36
1982-03-02,82.0
1982-04-02,82.72
1982-05-02,83.48
1982-06-02,83.64
1982-07-02,83.82
1982-08-01,83.99
1982-09-01,84.27
1982-10-01,84.59
1982-11-01,84.75
1982-12-01,84.81
1983-01-01,86.17
1983-01-31,86.77
1983-03-02,87.26
1983-04-02,87.56
1983-05-02,88.12
1983-06-02,88.61
1983-07-02,88.98
1983-08-01,89.29
1983-09-01,89.8
1983-10-01,90.18
1983-11-01,90.56
1983-12-01,90.88
1984-01-01,92.52
1984-01-31,93.1
1984-03-01,93.52
1984-04-01,94.0
1984-05-01,94.39
1984-06-01,94.75
1984-07-01,95.1
1984-07-31,95.4
1984-08-31,95.72
1984-09-30,95.96
1984-10-31,96.2
1984-11-30,96.47
1985-01-01,97.6
1985-01-31,98.2
1985-03-02,98.68
1985-04-02,99.45
1985-05-02,99.78
1985-06-02,100.03
1985-07-02,100.44
1985-08-01,100.58
1985-09-01,100.82
1985-10-01,101.15
1985-11-01,101.29
1985-12-01,101.69
1986-01-01,102.55
1986-01-31,102.99
1986-03-02,103.18
1986-04-02,103.43
1986-05-02,103.58
1986-06-02,103.78
1986-07-02,104.05
1986-08-01,104.21
1986-09-01,104.43
1986-10-01,104.53
1986-11-01,104.74
1986-12-01,104.79
1987-01-01,105.36
1987-01-31,105.47
1987-03-02,105.5
1987-04-02,105.73
1987-05-02,105.88
1987-06-02,105.82
1987-07-02,106.0
1987-08-01,106.17
1987-09-01,106.26
1987-10-01,106.51
1987-11-01,106.56
1987-12-01,106.65
1988-01-01,107.05
1988-01-31,107.36
1988-03-01,107.67
1988-04-01,108.27
1988-05-01,108.8
1988-06-01,109.14
1988-07-01,109.42
1988-07-31,109.79
1988-08-31,110.15
1988-09-30,110.66
1988-10-31,110.91
1988-11-30,111.33
1989-01-01,112.41
1989-01-31,113.1
1989-03-02,113.58
1989-04-02,114.32
1989-05-02,114.73
1989-06-02,114.96
1989-07-02,115.05
1989-08-01,115.2
1989-09-01,115.67
1989-10-01,115.99
1989-11-01,116.24
1989-12-01,116.39
1990-01-01,117.07
1990-01-31,117.39
1990-03-02,117.76
1990-04-02,118.12
1990-05-02,118.43
1990-06-02,118.65
1990-07-02,118.88
1990-08-01,119.08
1990-09-01,119.25
1990-10-01,119.61
1990-11-01,119.74
1990-12-01,119.87
1991-01-01,120.91
1991-01-31,121.4
1991-03-02,121.58
1991-04-02,121.7
1991-05-02,121.87
1991-06-02,122.11
1991-07-02,122.33
1991-08-01,122.41
1991-09-01,122.82
1991-10-01,123.05
1991-11-01,123.27
1991-12-01,123.39
1992-01-01,124.01
1992-01-31,124.27
1992-03-01,124.51
1992-04-01,124.95
1992-05-01,125.23
1992-06-01,125.32
1992-07-01,125.46
1992-07-31,125.59
1992-08-31,125.75
1992-09-30,125.93
1992-10-31,126.01
1992-11-30,126.04
1993-01-01,126.51
