Time,ipi_Germany
1999-01-01,71.9
1999-02-01,76.4
1999-03-01,91.0
1999-04-01,82.0
1999-05-01,79.3
1999-06-01,88.4
1999-07-01,83.1
1999-08-01,77.3
1999-09-01,90.9
1999-10-01,88.5
1999-11-01,92.5
1999-12-01,85.3
2000-01-01,76.0
2000-02-01,85.3
2000-03-01,95.1
2000-04-01,81.8
2000-05-01,94.9
2000-06-01,87.3
2000-07-01,86.3
2000-08-01,85.0
2000-09-01,94.2
2000-10-01,93.5
2000-11-01,98.3
2000-12-01,86.5
2001-01-01,85.9
2001-02-01,86.6
2001-03-01,97.6
2001-04-01,85.9
2001-05-01,92.0
2001-06-01,89.8
2001-07-01,88.0
2001-08-01,85.0
2001-09-01,89.6
2001-10-01,93.7
2001-11-01,93.6
2001-12-01,78.1
2002-01-01,82.5
2002-02-01,82.4
2002-03-01,88.3
2002-04-01,90.7
2002-05-01,83.9
2002-06-01,90.8
2002-07-01,91.1
2002-08-01,82.0
2002-09-01,92.5
2002-10-01,94.1
2002-11-01,93.6
2002-12-01,80.7
2003-01-01,82.9
2003-02-01,84.8
2003-03-01,90.9
2003-04-01,87.9
2003-05-01,86.5
2003-06-01,86.2
2003-07-01,92.5
2003-08-01,76.9
2003-09-01,93.6
2003-10-01,95.6
2003-11-01,93.4
2003-12-01,85.0
2004-01-01,81.5
2004-02-01,85.5
2004-03-01,99.9
2004-04-01,91.0
2004-05-01,87.9
2004-06-01,97.2
2004-07-01,93.0
2004-08-01,84.7
2004-09-01,98.7
2004-10-01,96.3
2004-11-01,98.2
2004-12-01,89.7
2005-01-01,84.6
2005-02-01,86.9
2005-03-01,96.8
2005-04-01,96.8
2005-05-01,89.7
2005-06-01,103.2
2005-07-01,93.2
2005-08-01,88.7
2005-09-01,103.7
2005-10-01,97.9
2005-11-01,104.6
2005-12-01,95.0
2006-01-01,91.1
2006-02-01,92.3
2006-03-01,107.9
2006-04-01,92.0
2006-05-01,103.2
2006-06-01,102.5
2006-07-01,98.5
2006-08-01,97.1
2006-09-01,106.7
2006-10-01,105.8
2006-11-01,112.4
2006-12-01,97.9
2007-01-01,99.8
2007-02-01,99.8
2007-03-01,114.0
2007-04-01,101.1
2007-05-01,105.8
2007-06-01,109.3
2007-07-01,108.1
2007-08-01,102.4
2007-09-01,109.6
2007-10-01,117.0
2007-11-01,117.5
2007-12-01,97.6
2008-01-01,105.8
2008-02-01,109.0
2008-03-01,107.3
2008-04-01,118.5
2008-05-01,105.1
2008-06-01,115.1
2008-07-01,112.4
2008-08-01,97.7
2008-09-01,116.2
2008-10-01,113.0
2008-11-01,104.2
2008-12-01,90.4
2009-01-01,80.6
2009-02-01,81.5
2009-03-01,93.4
2009-04-01,83.9
2009-05-01,84.4
2009-06-01,90.9
2009-07-01,91.5
2009-08-01,80.2
2009-09-01,100.5
2009-10-01,98.3
2009-11-01,98.5
2009-12-01,87.6
2010-01-01,81.3
2010-02-01,87.5
2010-03-01,106.9
2010-04-01,96.4
2010-05-01,95.6
2010-06-01,105.6
2010-07-01,99.6
2010-08-01,93.8
2010-09-01,110.0
2010-10-01,108.0
2010-11-01,112.2
2010-12-01,103.0
2011-01-01,95.0
2011-02-01,102.5
2011-03-01,118.9
2011-04-01,103.6
2011-05-01,115.9
2011-06-01,106.1
2011-07-01,107.4
2011-08-01,105.2
2011-09-01,116.3
2011-10-01,108.8
2011-11-01,117.3
2011-12-01,104.4
2012-01-01,100.3
2012-02-01,105.9
2012-03-01,118.4
2012-04-01,102.5
2012-05-01,108.0
2012-06-01,110.0
2012-07-01,109.5
2012-08-01,104.1
2012-09-01,107.6
2012-10-01,112.9
2012-11-01,113.7
2012-12-01,94.6
2013-01-01,99.7
2013-02-01,100.7
2013-03-01,108.1
2013-04-01,110.8
2013-05-01,103.2
2013-06-01,109.7
2013-07-01,111.0
2013-08-01,101.2
2013-09-01,112.4
2013-10-01,114.6
2013-11-01,114.9
2013-12-01,100.3
