Time,ipi_Spain
1999-01-01,110.07
1999-02-01,112.99
1999-03-01,123.96
1999-04-01,115.19
1999-05-01,121.65
1999-06-01,126.52
1999-07-01,127.98
1999-08-01,76.42
1999-09-01,124.21
1999-10-01,122.86
1999-11-01,127.5
1999-12-01,115.43
2000-01-01,114.09
2000-02-01,123.72
2000-03-01,135.42
2000-04-01,113.36
2000-05-01,132.98
2000-06-01,132.49
2000-07-01,127.01
2000-08-01,81.79
2000-09-01,123.84
2000-10-01,125.91
2000-11-01,132.25
2000-12-01,109.33
2001-01-01,120.55
2001-02-01,118.96
2001-03-01,129.93
2001-04-01,113.24
2001-05-01,131.03
2001-06-01,128.11
2001-07-01,125.79
2001-08-01,84.1
2001-09-01,119.57
2001-10-01,129.32
2001-11-01,124.45
2001-12-01,102.02
2002-01-01,116.4
2002-02-01,116.89
2002-03-01,114.21
2002-04-01,125.67
2002-05-01,128.23
2002-06-01,120.3
2002-07-01,130.42
2002-08-01,80.81
2002-09-01,122.62
2002-10-01,136.64
2002-11-01,126.03
2002-12-01,107.38
2003-01-01,116.77
2003-02-01,118.48
2003-03-01,126.64
2003-04-01,119.7
2003-05-01,126.52
2003-06-01,126.16
2003-07-01,132.98
2003-08-01,78.01
2003-09-01,125.3
2003-10-01,137.0
2003-11-01,126.64
2003-12-01,111.04
2004-01-01,112.75
2004-02-01,120.55
2004-03-01,134.93
2004-04-01,119.94
2004-05-01,129.32
2004-06-01,133.59
2004-07-01,132.49
2004-08-01,83.01
2004-09-01,130.06
2004-10-01,126.28
2004-11-01,132.25
2004-12-01,111.89
2005-01-01,112.38
2005-02-01,118.23
2005-03-01,124.69
2005-04-01,129.57
2005-05-01,129.32
2005-06-01,132.86
2005-07-01,127.01
2005-08-01,87.03
2005-09-01,130.18
2005-10-01,126.16
2005-11-01,132.74
2005-12-01,112.75
2006-01-01,121.52
2006-02-01,123.47
2006-03-01,141.76
2006-04-01,116.53
2006-05-01,137.98
2006-06-01,139.2
2006-07-01,131.52
2006-08-01,90.32
2006-09-01,130.42
2006-10-01,134.69
2006-11-01,138.71
2006-12-01,114.82
2007-01-01,130.91
2007-02-01,128.59
2007-03-01,143.59
2007-04-01,121.89
2007-05-01,142.49
2007-06-01,139.69
2007-07-01,138.22
2007-08-01,92.76
2007-09-01,128.47
2007-10-01,141.64
2007-11-01,135.91
2007-12-01,114.58
2008-01-01,129.57
2008-02-01,132.86
2008-03-01,119.57
2008-04-01,137.0
2008-05-01,129.69
2008-06-01,123.23
2008-07-01,135.3
2008-08-01,80.45
2008-09-01,122.25
2008-10-01,123.35
2008-11-01,109.58
2008-12-01,94.22
2009-01-01,94.83
2009-02-01,98.97
2009-03-01,103.36
2009-04-01,96.54
2009-05-01,99.58
2009-06-01,104.46
2009-07-01,111.04
2009-08-01,71.18
2009-09-01,105.68
2009-10-01,107.02
2009-11-01,105.92
2009-12-01,93.85
2010-01-01,89.95
2010-02-01,96.54
2010-03-01,109.94
2010-04-01,99.34
2010-05-01,104.58
2010-06-01,108.24
2010-07-01,107.87
2010-08-01,73.74
2010-09-01,104.09
2010-10-01,102.39
2010-11-01,109.33
2010-12-01,93.98
2011-01-01,93.28
2011-02-01,100.32
2011-03-01,111.47
2011-04-01,95.11
2011-05-01,105.6
2011-06-01,105.77
2011-07-01,103.53
2011-08-01,74.48
2011-09-01,103.33
2011-10-01,98.52
2011-11-01,101.43
2011-12-01,87.93
2012-01-01,91.1
2012-02-01,94.7
2012-03-01,98.85
2012-04-01,85.81
2012-05-01,99.32
2012-06-01,97.14
2012-07-01,98.15
2012-08-01,70.73
2012-09-01,88.73
2012-10-01,97.59
2012-11-01,92.34
2012-12-01,77.18
2013-01-01,88.04
2013-02-01,87.04
2013-03-01,87.64
2013-04-01,92.86
2013-05-01,96.9
2013-06-01,92.66
2013-07-01,98.46
2013-08-01,67.64
2013-09-01,92.66
2013-10-01,99.31
2013-11-01,92.41
2013-12-01,80.8
