Year    ,SalesIBM,Sales+84,Profit  ,LogSale ,Profit  ,Profit+8,LgProfit,F/CSales,F/CProf 
1954 ,0.461 , ,0.047 ,-0.77436 ,0.047 , ,-3.05761 , , 
1955 ,0.564 , ,0.056 ,-0.5727 ,0.056 , ,-2.8824 , , 
1956 ,0.734 , ,0.069 ,-0.30925 ,0.069 , ,-2.67365 , , 
1957 ,1 , ,0.089 ,0 ,0.089 , ,-2.41912 , , 
1958 ,1.2 , ,0.126 ,0.182322 ,0.126 , ,-2.07147 , , 
1959 ,1.3 , ,0.145 ,0.262364 ,0.145 , ,-1.93102 , , 
1960 ,1.4 , ,0.168 ,0.336472 ,0.168 , ,-1.78379 , , 
1961 ,1.7 , ,0.207 ,0.530628 ,0.207 , ,-1.57504 ,2.023866 ,0.260284 
1962 ,1.9 , ,0.241 ,0.641854 ,0.241 , ,-1.42296 ,2.322595 ,0.299647 
1963 ,2.1 , ,0.29 ,0.741937 ,0.29 , ,-1.23787 ,2.665417 ,0.344963 
1964 ,3.2 , ,0.431 ,1.163151 ,0.431 , ,-0.84165 ,3.05884 ,0.397131 
1965 ,3.6 , ,0.477 ,1.280934 ,0.477 , ,-0.74024 ,3.510334 ,0.45719 
1966 ,4.2 , ,0.526 ,1.435084 ,0.526 , ,-0.64245 ,4.02847 ,0.526331 
1967 ,5.3 , ,0.652 ,1.667707 ,0.652 , ,-0.42771 ,4.623084 ,0.605928 
1968 ,6.9 , ,0.871 ,1.931521 ,0.871 , ,-0.13811 ,5.305465 ,0.697563 
1969 ,7.2 , ,0.934 ,1.974081 ,0.934 , ,-0.06828 ,6.088567 ,0.803055 
1970 ,7.5 , ,1 ,2.014903 ,1 , ,0 ,6.987258 ,0.924502 
1971 ,8.3 , ,1 ,2.116256 ,1 , ,0 ,8.0186 ,1.064314 
1972 ,9.5 , ,1.3 ,2.251292 ,1.3 , ,0.262364 ,9.202168 ,1.225271 
1973 ,11 , ,1.6 ,2.397895 ,1.6 , ,0.470004 ,10.56043 ,1.41057 
1974 ,12.7 , ,1.8 ,2.541602 ,1.8 , ,0.587787 ,12.11919 ,1.623891 
1975 ,14.4 , ,2 ,2.667228 ,2 , ,0.693147 ,13.90802 ,1.869472 
1976 ,16.3 , ,2.4 ,2.791165 ,2.4 , ,0.875469 ,15.96088 ,2.152193 
1977 ,18.1 , ,2.7 ,2.895912 ,2.7 , ,0.993252 ,18.31675 ,2.47767 
1978 ,21.1 , ,3.1 ,3.049273 ,3.1 , ,1.131402 ,21.02036 ,2.85237 
1979 ,22.9 , ,3 ,3.131137 ,3 , ,1.098612 ,24.12303 ,3.283735 
1980 ,26.2 , ,3.6 ,3.265759 ,3.6 , ,1.280934 ,27.68366 ,3.780335 
1981 ,29.1 , ,3.3 ,3.370738 ,3.3 , ,1.193922 ,31.76984 ,4.352037 
1982 ,34.4 , ,4.4 ,3.538057 ,4.4 , ,1.481605 ,36.45917 ,5.010198 
1983 ,40.2 , ,5.5 ,3.693867 ,5.5 , ,1.704748 ,41.84066 ,5.767891 
1984 ,45.9 , ,6.6 ,3.826465 ,6.6 , ,1.88707 ,48.01646 ,6.640172 
1985 , ,50.1 , , , ,6.6 , ,55.10383 ,7.644368 
1986 , ,51.3 , , , ,4.8 , ,63.23731 ,8.80043 
1987 , ,54.2 , , , ,5.3 , ,72.57135 ,10.13132 
1988 , ,59.7 , , , ,5.8 , ,83.28309 ,11.66349 
1989 , ,63.4 , , , ,3.8 , ,95.57591 ,13.42736 
1990 , ,69 , , , ,6.0 , ,109.6832 ,15.45799 
1991 , ,64.8 , , , ,-2.8 , ,125.8728 ,17.7957 
1992 , ,65.1 , , , ,-5.0 , ,144.452 ,20.48695 
1993 , ,62.7 , , , ,-8.1 , ,165.7735 ,23.58521 
1994 , ,64.1 , , , ,3.0 , ,190.2421 ,27.15201 
1995 ,,71.9 ,,,,4.2 ,,,
