Period,  X,F/CSingle,F/CHolt,F/CDamped,OptComb,SimplComb
1,376,492,367,365,403,408
2,324,457,375,369,397,401
3,341,417,364,367,380,383
4,444,394,361,362,371,373
5,450,409,394,368,390,391
6,433,422,418,380,406,407
7,384,425,429,393,415,416
8,490,413,419,401,411,411
9,369,436,448,415,433,433
10,380,416,427,420,421,421
11,401,405,417,419,414,414
12,386,404,417,417,413,412
13,441,398,412,412,408,407
14,491,411,427,412,417,417
15,468,435,454,420,436,436
16,453,445,464,430,446,446
17,490,447,466,439,451,451
18,459,460,479,450,463,463
19,480,460,478,458,466,465
20,383,466,484,466,472,472
21,462,441,455,463,454,453
22,506,447,463,461,458,457
23,466,465,483,464,471,470
24,405,465,482,466,472,471
25,544,447,462,461,457,457
26,546,476,495,467,479,479
27,399,497,517,478,498,497
28,396,468,483,478,477,476
29,524,446,459,469,459,458
30,546,470,486,469,475,475
31,558,492,511,477,494,494
32,493,512,532,490,512,512
33,551,506,524,499,510,510
34,490,520,539,511,523,523
35,493,511,528,516,519,518
36,555,505,521,517,515,515
37,603,520,538,522,527,527
38,642,545,565,533,548,548
39,636,574,596,552,574,574
40,577,593,615,573,594,593
41,545,588,608,587,595,594
42,606,575,592,592,587,586
43,514,584,602,597,595,594
44,603,563,578,592,578,578
45,694,575,592,590,586,585
46,542,611,631,599,614,614
47,560,590,607,599,599,599
48,735,581,596,595,591,591
49,628,627,648,607,628,627
50,676,627,653,615,632,632
51,629,627,659,620,636,635
52,600,627,664,623,639,638
53,654,627,670,625,642,641
54,661,627,675,627,644,643
55,606,627,680,628,647,645
56,660,627,686,629,649,647
57,665,627,691,629,651,649
58,595,627,696,629,653,651
59,621,627,702,630,655,653
60,723,627,707,630,657,655
61,608,627,713,630,659,657
62,728,627,718,630,661,658
63,650,627,723,630,663,660
