"Index","permanent","reslong","vislong","resshort","visshort"
"1976",2.17,7.39,1.87,75.8,66.2
"1976.08333333333",2.06,5.13,1.42,54.7,49.4
"1976.16666666667",2.66,6.35,1.67,85,46.8
"1976.25",2.32,5.64,1.42,74.6,41
"1976.33333333333",2.75,6.73,1.77,103.9,43
"1976.41666666667",2,5.17,1.42,82,28.4
"1976.5",2.16,5.56,1.37,77,30
"1976.58333333333",2.26,6,1.65,103.6,41.5
"1976.66666666667",1.84,4.49,1.27,62.9,38.6
"1976.75",2.04,4.22,1.29,60.7,39
"1976.83333333333",1.92,5.12,1.99,58.8,46.6
"1976.91666666667",2.56,6.73,3.52,134.8,42.1
"1977",2.22,8.71,1.87,81.2,68.7
"1977.08333333333",1.46,5.02,1.1,47.7,47.5
"1977.16666666667",2.02,5.97,1.4,76.2,50.8
"1977.25",1.99,5.59,1.31,81.9,47.4
"1977.33333333333",2.28,6,1.54,95.4,41.3
"1977.41666666667",1.85,5.39,1.42,85.4,31.8
"1977.5",1.98,5.09,1.56,84.4,34.5
"1977.58333333333",1.98,5.22,1.53,103.4,42.6
"1977.66666666667",1.65,4.11,1.14,63,39.4
"1977.75",1.69,3.86,1.23,65.5,40.9
"1977.83333333333",1.47,3.51,1.5,59.2,50.2
"1977.91666666667",2.16,5.63,3.57,128,45.8
"1978",1.78,7,1.75,74.4,73
"1978.08333333333",1.54,5.21,1.48,57.1,58
"1978.16666666667",1.83,5.66,1.41,75.6,54
"1978.25",2.45,5.14,1.17,88.3,47.8
"1978.33333333333",2.57,5.21,1.54,111.1,44.8
"1978.41666666667",2,4.46,1.3,95,33.4
"1978.5",2.2,4.97,1.41,91.5,36.8
"1978.58333333333",2.19,4.91,1.62,111.4,47
"1978.66666666667",2.01,3.94,1.33,73.7,48.2
"1978.75",1.88,3.02,1.19,72.8,48.3
"1978.83333333333",1.72,3.26,1.58,64.9,56.3
"1978.91666666667",2.81,5.74,3.86,146.3,49.7
"1979",2.1,6.67,2.32,83.1,85.3
"1979.08333333333",2,5.18,1.52,66.2,65.7
"1979.16666666667",2.41,5.58,1.65,101.7,64.6
"1979.25",2.02,4.85,1.46,100.1,59
"1979.33333333333",2.18,5.2,1.74,120.1,59.8
"1979.41666666667",1.9,3.95,1.55,100.2,46.2
"1979.5",1.78,4.08,1.41,97,55.2
"1979.58333333333",1.69,3.75,1.46,120.6,68.2
"1979.66666666667",1.71,3.71,1.16,88.4,60.6
"1979.75",1.73,3.51,1.06,83.5,61
"1979.83333333333",1.73,3.54,1.61,73.2,69.6
"1979.91666666667",2.17,4.27,3.5,141.8,57.2
"1980",1.91,6.78,1.95,87.7,98.9
"1980.08333333333",1.87,5.15,1.39,82.7,82.5
"1980.16666666667",2.04,5.13,1.44,106,87.6
"1980.25",1.82,4.3,1.33,103.9,76.1
"1980.33333333333",1.99,4.21,1.47,121,65.9
"1980.41666666667",1.59,3.7,1.46,98.8,57.8
"1980.5",1.51,3.6,1.39,96.9,68.8
"1980.58333333333",1.7,4.28,1.48,115.4,72.2
"1980.66666666667",1.33,3.48,1.02,87.5,64
"1980.75",1.59,2.97,1.1,86.5,65.9
"1980.83333333333",1.76,3.11,1.57,81.8,75.5
"1980.91666666667",1.74,4.01,3.72,135.3,58.8
"1981",1.8,6.65,1.95,88.9,105
"1981.08333333333",1.61,4.34,1.2,77.1,75.1
"1981.16666666667",1.84,4.79,1.47,109,88.1
"1981.25",1.71,3.71,1.23,104,75
"1981.33333333333",1.56,3.71,1.4,113,72.2
"1981.41666666667",1.34,3.2,1.26,99,57
"1981.5",1.51,3.23,1.37,104.5,69
"1981.58333333333",1.72,4.14,1.39,109.4,78.3
"1981.66666666667",1.39,3.28,1.11,92.9,67.2
"1981.75",1.71,2.7,1.16,88.7,71.4
"1981.83333333333",1.59,3.06,1.77,90.5,78.3
"1981.91666666667",2.07,3.92,3.71,140.2,63.7
"1982",1.75,6.54,1.94,91.7,106.5
"1982.08333333333",1.8,4.17,1.46,78.8,78.6
"1982.16666666667",2.17,4.75,1.78,114.7,85.8
"1982.25",1.71,3.71,1.42,100.7,79.8
"1982.33333333333",1.72,3.67,1.57,113.3,81.1
"1982.41666666667",1.75,3.33,1.64,122.8,59.1
"1982.5",1.72,3.51,1.76,117.9,67
"1982.58333333333",1.71,3.95,1.68,122.2,78.5
"1982.66666666667",1.83,3.59,1.45,102.9,66.6
"1982.75",1.83,2.76,1.55,85.3,77.4
"1982.83333333333",2.13,3.19,2.3,92.8,72.6
"1982.91666666667",2.38,3.73,4.42,143.8,68.4
"1983",2.24,6.41,2.45,88.4,110.3
"1983.08333333333",1.99,3.87,1.87,75.4,84
"1983.16666666667",3.04,5.1,2.34,111.2,81.4
