,Date,GeneratedTrend,GeneratedCycle,GeneratedAR,Noise,Signal_20_D_0_PolyTrend_7_exp_1.0_10
0,2000-01-01,0.20552675214328775,0.42857142857142855,0.0,-0.07770456650883938,0.2514556742065196
1,2000-01-02,0.22728975630016632,0.14285714285714285,0.0,1.0896301649283022,0.1018889279639977
2,2000-01-03,0.24954089549631814,0.42857142857142855,0.02835648865872159,0.09654266759327351,0.19649733368675482
3,2000-01-04,0.2722801697317432,0.7142857142857143,0.06444455244243322,1.4186671084676297,0.03711357470061015
4,2000-01-05,0.29550757900644153,0.2857142857142857,0.10422571996530204,1.1682731374280053,0.06871308318003178
5,2000-01-06,0.3192231233204131,0.5714285714285714,0.14700631085723817,0.9471859464018728,0.06026891050964807
6,2000-01-07,0.3434268026736579,0.8571428571428571,0.1912265564966149,1.0854870347559817,0.036832370491425265
7,2000-01-08,0.36811861706617593,0.42857142857142855,0.23601227663242066,2.3822244479133983,0.014421693591061348
8,2000-01-09,0.39329856649796724,0.14285714285714285,0.2812707779860128,-0.40602373632291733,0.2906900535585617
9,2000-01-10,0.41896665096903185,0.42857142857142855,0.3266887939072034,0.2664453411788736,0.10385421406553882
10,2000-01-11,0.4451228704793696,0.7142857142857143,0.3722102026842937,-1.3557137239186656,0.36787944117144233
11,2000-01-12,0.47176722502898066,0.2857142857142857,0.4177696850058492,-0.11410253188685747,0.1517920783247028
12,2000-01-13,0.4988997146178649,0.5714285714285714,0.4633656096169089,-0.844230864581227,0.22012538403357115
13,2000-01-14,0.5265203392460225,0.8571428571428571,0.5089666489317406,0.7056408100507655,0.03263514212750599
14,2000-01-15,0.5546290989134532,0.42857142857142855,0.5545676882465722,-0.39878617335193706,0.1404256686653978
15,2000-01-16,0.5832259936201574,0.14285714285714285,0.600168727561404,-0.8271965334869942,0.2662950785927916
16,2000-01-17,0.6123110233661346,0.42857142857142855,0.6457697668762357,-0.41574470158503485,0.1230699416771211
17,2000-01-18,0.641884188151385,0.7142857142857143,0.6913708061910674,-0.5245121937314283,0.09564389119504153
18,2000-01-19,0.6719454879759089,0.2857142857142857,0.7369718455058992,0.8131012718382519,0.03572774120090702
19,2000-01-20,0.7024949228397059,0.5714285714285714,0.782572884820731,-0.2292506291606075,0.07055655540739164
